Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
P,T1,C311,W01a,PT1C311W01a,PT1C311W01a,12/20/2014,12/20/2014,1,57.5,37,1,0,Construct,Code 04.,"Lift ""W01a C3-11+12"" will be separated into ""W01a"" for monolith ""C3-11"" and ""W01a"" for monolith ""C3-12"". All quantities will be assigned to W01a, monolith C3-11.",Code 04a.,P-P-S-6810-0002,
P,T1,C312,W01a,PT1C312W01a,PT1C312W01a,12/20/2014,12/20/2014,1,0,0,0,-707,Construct,Code 04.,"Lift ""W01a C3-11+12"" will be separated into ""W01a"" for monolith ""C3-11"" and ""W01a"" for monolith ""C3-12"". All quantities will be assigned to W01a, monolith C3-11.",Code 04a.,P-P-S-6810-0005,
P,T1,C310,F01,PT1C310F01,PT1C310F01,01/12/2013,01/12/2013,1,287,259,1,534,Construct,,,,,
P,T1,C310,W02a,PT1C310W02a,PT1C310W02a,06/30/2014,06/30/2014,1,43,48,1,14,Construct,,,,,
P,T1,C310,W02b,PT1C310W02b,PT1C310W02b,07/14/2014,07/14/2014,1,40,48,1,14,Construct,,,,,
P,T1,C310,W01a,PT1C310W01a,PT1C310W01a,07/28/2014,07/28/2014,1,32,41,1,9,Construct,,,,,
P,T1,C310,W01b,PT1C310W01b,PT1C310W01b,08/06/2014,08/06/2014,1,25,25,1,48,Construct,,,,,
P,T1,C310,P04,PT1C310P04,PT1C310P04,09/23/2014,09/23/2014,1,16,16,1,9,Construct,,,,,
P,T1,C310,P03,PT1C310P03,PT1C310P03,10/02/2014,10/02/2014,1,18,14,1,7,Construct,,,,,
P,T1,C310,P02,PT1C310P02,PT1C310P02,10/09/2014,10/09/2014,1,27,27,1,0,Construct,Code 03.,"Lift ""P02+P01"" will be separated into ""P02"" and ""P01"". All quantities will be assigned to P02.",Code 03a.,P-P-S-6810-0005,
P,T1,C310,P01,PT1C310P01,PT1C310P01,10/09/2014,10/09/2014,1,0,0,0,68,Construct,Code 03.,"Lift ""P02+P01"" will be separated into ""P02"" and ""P01"". All quantities will be assigned to P02.",Code 03a.,P-P-S-6810-0005,
P,T1,C310,R03b,PT1C310R03b,PT1C310R03b,12/16/2014,12/16/2014,1,60,40,1,13,Construct,,,,,
P,T1,C310,R02,PT1C310R02,PT1C310R02,12/29/2014,12/29/2014,1,312,309,1,0,Construct,Code 03.,"Lift ""R02+R01"" will be separated into ""R02"" and ""R01"". All quantities will be assigned to R02.",Code 03a.,P-P-S-6810-0005,
P,T1,C310,R01,PT1C310R01,PT1C310R01,12/29/2014,12/29/2014,1,0,0,0,-188,Construct,Code 03.,"Lift ""R02+R01"" will be separated into ""R02"" and ""R01"". All quantities will be assigned to R02.",Code 03a.,P-P-S-6810-0005,
