Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC
P,IW,M03,W02b,PIWM03W02b,PIWM03W02b,12/26/2014,12/26/2014,1,3,2,1,80,Construct,Code 05.,"Lift ""W02B"" will be renamed as ""W02b"".",Code 05a.,P-P-S-4212-0002
P,IW,M03,W01,PIWM03W01,PIWM03W01,03/16/2015,03/16/2015,1,237,245,1,136,Construct,,,,
P,IW,M03,Gratings Concrete,PIWM03GratingsConcrete,PIWM03GratingsConcrete,07/30/2015,07/30/2015,1,4,4,1,-878,Construct,Code 06.,"Lift ""Gratings Conclete"" does not exist in the RFC.",Code 06a.,P-P-S-4212-0002
P,IW,M04,F04,PIWM04F04,PIWM04F04,03/04/2013,03/06/2013,3,2122,2130,4,5,Construct,Code 06.,"Lift ""F04"" does not exist in the RFC.",Code 06a.,P-P-S-4215-0001
P,IW,M04,F03,PIWM04F03,PIWM04F03,03/11/2013,03/25/2013,15,2008,2035,5,42,Construct,Code 06.,"Lift ""F03"" does not exist in the RFC.",Code 06a.,P-P-S-4215-0001
P,IW,M04,F02,PIWM04F02,PIWM04F02,05/06/2013,05/07/2013,2,2006,1961,2,7,Construct,,,,
P,IW,M04,F01,PIWM04F01,PIWM04F01,05/14/2013,05/15/2013,2,1465,1439,2,72,Construct,,,,
P,IW,M04,C06 a,PIWM04C06a,PIWM04C06a,07/26/2013,07/26/2013,1,110,130,1,19,Construct,,,,
P,IW,M04,P2-02,PIWM04P2-02,PIWM04P2-02,08/14/2013,08/14/2013,1,85,95,1,33,Construct,,,,
P,IW,M04,P3-02,PIWM04P3-02,PIWM04P3-02,09/16/2013,09/16/2013,1,193,194,1,16,Construct,,,,
P,IW,M04,C05 a,PIWM04C05a,PIWM04C05a,10/02/2013,10/02/2013,1,129,130,1,1,Construct,,,,
P,IW,M04,P3-01,PIWM04P3-01,PIWM04P3-01,10/03/2013,10/04/2013,2,210,190,2,13,Construct,,,,
P,IW,M04,C04 a,PIWM04C04a,PIWM04C04a,10/17/2013,10/17/2013,1,72,56,1,5,Construct,,,,
P,IW,M04,C06 b,PIWM04C06b,PIWM04C06b,10/22/2013,10/23/2013,2,273,246,2,1,Construct,,,,
