Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Proces,,,RFC,Note,Corrections,Revision FR
P,UE,M20,C02,PUEM20C02,PUEM20C02,2/2/2013,2/2/2013,1,289,294,1,5,Construct,,,,,,,
P,UE,M20,C01,PUEM20C01,PUEM20C01,2/7/2013,2/16/2013,10,1002,1023,3,37,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-2101-0002,"model has only one part, joining a and b in the table",,
P,UE,M20,W09,PUEM20W09,PUEM20W09,3/25/2013,3/26/2013,2,485,479,2,10,Construct,,,,,,,
P,UE,M20,W08,PUEM20W08,PUEM20W08,4/5/2013,4/5/2013,1,408,404,1,8,Construct,,,,,,,
P,UE,M20,W07,PUEM20W07,PUEM20W07,4/13/2013,4/13/2013,1,417,329,1,11,Construct,,,,,,,
P,UE,M20,W06,PUEM20W06,PUEM20W06,4/24/2013,4/24/2013,1,252,255,1,13,Construct,,,,,,,
P,UE,M20,W05,PUEM20W05,PUEM20W05,5/7/2013,5/8/2013,2,272,258,2,17,Construct,,,,,,,
P,UE,M20,W04,PUEM20W04,PUEM20W04,5/25/2013,5/25/2013,1,200,191,1,13,Construct,,,,,,,
P,UE,M20,W03,PUEM20W03,PUEM20W03,6/7/2013,6/8/2013,2,192,189,2,17,Construct,,,,,,,
P,UE,M20,W02,PUEM20W02,PUEM20W02,6/25/2013,6/26/2013,2,176,171,2,462,Construct,,,,,,,
P,UE,M20,W01,PUEM20W01,PUEM20W01,10/1/2014,10/2/2014,2,87,72,2,-1129,Construct,,,,,,,
P,UE,M21,F03a,PUEM21F03a,PUEM21F03a,8/30/2011,8/30/2011,1,381,380,1,13,Construct,,,,,,,
P,UE,M21,F03b,PUEM21F03b,PUEM21F03b,9/12/2011,9/12/2011,1,425,403,1,15,Construct,,,,,,,
P,UE,M21,F02a,PUEM21F02a,PUEM21F02a,9/27/2011,2/27/2012,154,476,430,4,-132,Construct,,,,,,,
P,UE,M21,F02b,PUEM21F02b,PUEM21F02b,10/18/2011,10/18/2011,1,504,488,1,147,Construct,,,,,,,
P,UE,M21,F01a,PUEM21F01a,PUEM21F01a,3/13/2012,3/13/2012,1,208.1,165,1,-146,Construct,,,,,,,
P,UE,M21,F01b,PUEM21F01b,PUEM21F01b,10/19/2011,10/19/2011,1,0,0,0,147,Construct,Code 01.,"A new row was created under the name of ""f01 b"", with 0 quantities and with the dates of the preivous lift plus one day.",Code 01a.,P-P-S-2120-0001,,,
P,UE,M21,C06a,PUEM21C06a,PUEM21C06a,3/14/2012,3/14/2012,1,0,0,0,71,Construct,Code 01.,"A new row was created under the name of ""C06a"", with 0 quantities and with the dates of the preivous lift plus one day.",Code 01a.,P-P-S-2121-0002,,,
P,UE,M21,C06b,PUEM21C06b,PUEM21C06b,5/24/2012,5/24/2012,1,208,220,1,76,Construct,,,,,,,
P,UE,M21,C06c,PUEM21C06c,PUEM21C06c,8/8/2012,8/8/2012,1,88,80,1,-146,Construct,,,,,,,
P,UE,M21,C05a,PUEM21C05a,PUEM21C05a,3/15/2012,3/15/2012,1,0,0,0,71,Construct,Code 01.,"A new row was created under the name of ""C03a"", with 0 quantities and with the dates of the preivous lift plus one day.",Code 01a.,P-P-S-2121-0002,,,
P,UE,M21,C05b,PUEM21C05b,PUEM21C05b,5/25/2012,5/25/2012,1,0,0,0,76,Construct,Code 01.,"A new row was created under the name of ""C03b"", with 0 quantities and with the dates of the preivous lift plus one day.",Code 01a.,P-P-S-2121-0002,,,
P,UE,M21,C05c,PUEM21C05c,PUEM21C05c,8/9/2012,8/9/2012,1,0,0,0,-7,Construct,Code 01.,"A new row was created under the name of ""C03c"", with 0 quantities and with the dates of the preivous lift plus one day.",Code 01a.,P-P-S-2121-0002,,,
P,UE,M21,C04a,PUEM21C04a,PUEM21C04a,8/2/2012,8/2/2012,1,162,155,1,-59,Construct,,,,,,,
P,UE,M21,C04b,PUEM21C04b,PUEM21C04b,6/4/2012,6/5/2012,2,216,210,2,83,Construct,,,,,,,
P,UE,M21,C04c,PUEM21C04c,PUEM21C04c,8/27/2012,8/27/2012,1,57,50,1,275,Construct,,,,,,,
P,UE,M21,C03a,PUEM21C03a,PUEM21C03a,5/29/2013,5/29/2013,1,160,162,1,0,Construct,Code 03,"Lift ""C03"" will be separated into ""C03a"" and ""C03b"". All quantities will be assigned to ""C03a"".",Code 03a.,P-P-S-2121-0002,,,
P,UE,M21,C03b,PUEM21C03b,PUEM21C03b,5/29/2013,5/29/2013,1,0,0,0,35,Construct,Code 03,"Lift ""C03"" will be separated into ""C03a"" and ""C03b"". All quantities will be assigned to ""C03a"".",Code 03a.,P-P-S-2121-0002,,,
P,UE,M21,C02,PUEM21C02,PUEM21C02,7/3/2013,7/4/2013,2,352,356,2,-14,Construct,,,,,,,
P,UE,M21,C01,PUEM21C01,PUEM21C01,6/20/2013,7/4/2013,15,940,985,4,8,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-2121-0001,"model has only one part, joining a and b in the table",,
P,UE,M21,W09,PUEM21W09,PUEM21W09,7/12/2013,7/13/2013,2,480,493,2,11,Construct,,,,,,,
P,UE,M21,W08,PUEM21W08,PUEM21W08,7/24/2013,7/24/2013,1,424,418,1,14,Construct,,,,,,,
P,UE,M21,W07,PUEM21W07,PUEM21W07,8/7/2013,8/7/2013,1,348,343,1,15,Construct,,,,,,,
P,UE,M21,W06,PUEM21W06,PUEM21W06,8/22/2013,8/22/2013,1,264,260,1,19,Construct,,,,,,,
P,UE,M21,W05,PUEM21W05,PUEM21W05,9/10/2013,9/11/2013,2,272,273,2,6,Construct,,,,,,,
P,UE,M21,W04,PUEM21W04,PUEM21W04,9/17/2013,9/17/2013,1,200,206,1,9,Construct,,,,,,,
P,UE,M21,W03,PUEM21W03,PUEM21W03,9/26/2013,9/27/2013,2,176,184,2,11,Construct,,,,,,,
P,UE,M21,W02,PUEM21W02,PUEM21W02,10/8/2013,10/8/2013,1,156,160,1,343,Construct,,,,,,,
P,UE,M21,W01,PUEM21W01,PUEM21W01,9/16/2014,9/16/2014,1,71,63,1,-1056,Construct,,,,,,,
P,UE,M22,F05,PUEM22F05,PUEM22F05,10/26/2011,10/27/2011,2,376,395,2,77,Construct,,,,,,,
P,UE,M22,F04,PUEM22F04,PUEM22F04,1/12/2012,2/28/2012,48,598.06,512,5,23,Construct,,,,,,,
P,UE,M22,F03a,PUEM22F03a,PUEM22F03a,3/22/2012,3/22/2012,1,217,191,1,161,Construct,,,,,,,
P,UE,M22,F03b,PUEM22F03b,PUEM22F03b,8/30/2012,8/30/2012,1,72,0,1,-160,Construct,,,,,,,
P,UE,M22,F02a,PUEM22F02a,PUEM22F02a,3/23/2012,3/23/2012,1,0,0,0,165,Construct,Code 01.,"A new row was created under the name of ""F02a"", with 0 quantities and with the dates of the preivous lift plus one day.",Code 01a.,P-P-S-2140-0003,,,
P,UE,M22,F02b,PUEM22F02b,PUEM22F02b,9/4/2012,9/5/2012,2,544,561,2,-165,Construct,,,,,,,
P,UE,M22,F01a,PUEM22F01a,PUEM22F01a,3/24/2012,3/24/2012,1,0,0,0,181,Construct,Code 01.,"A new row was created under the name of ""F01ab"", with 0 quantities and with the dates of the preivous lift plus one day.",Code 01a.,P-P-S-2140-0003,,,
P,UE,M22,F01b,PUEM22F01b,PUEM22F01b,9/21/2012,9/22/2012,2,512,512,2,-2,Construct,,,,,,,
P,UE,M22,F01c,PUEM22F01c,PUEM22F01c,9/20/2012,1/24/2013,127,12,0,1,-139,Construct,,,,,,,
P,UE,M22,C06,PUEM22C06,PUEM22C06,9/7/2012,3/7/2013,182,209,194,2,33,Construct,Code 02.,"Joining ""C06a"" and ""C06c"" under the name of ""C06"".",Code 02a.,P-P-S-2141-0001,"model is missing C06, table could be wrong",,
P,UE,M22,C05a,PUEM22C05a,PUEM22C05a,4/9/2013,4/10/2013,2,325,228,2,-1,Construct,Code 03.,"Lift ""C05"" will be separated into ""C05a"" and ""CD5c"".  All quantities will be assigned to ""C05a"".",Code 03a.,P-P-S-2140-0003,"model is missing piece, correct, aslo model has 05c.",No C06a on the drawing P-P-S-2140-0003-09_0,
P,UE,M22,C05c,PUEM22C05c,PUEM22C05c,4/9/2013,4/10/2013,2,325,228,2,13,Construct,Code 03.,"Lift ""C05"" will be separated into ""C05a"" and ""CD5c"".  All quantities will be assigned to ""C05a"".",Code 03a.,P-P-S-2140-0003,"model is missing piece, correct, aslo model has 05c.",No C06a on the drawing P-P-S-2140-0003-09_0,
P,UE,M22,C04a,PUEM22C04a,PUEM22C04a,4/23/2013,4/24/2013,2,330,336,2,-70,Construct,,,,,,,
P,UE,M22,C04b,PUEM22C04b,PUEM22C04b,2/13/2013,2/13/2013,1,208,203,1,82,Construct,,,,,,,
P,UE,M22,C03a,PUEM22C03a,PUEM22C03a,5/6/2013,5/14/2013,9,736,747,2,-82,Construct,,,,,,,
P,UE,M22,C03b,PUEM22C03b,PUEM22C03b,2/21/2013,2/22/2013,2,194,205,2,133,Construct,,,,,,,
P,UE,M22,C02,PUEM22C02,PUEM22C02,7/5/2013,7/5/2013,1,208,220,1,6,Construct,,,,,,,
P,UE,M22,C01,PUEM22C01,PUEM22C01,7/11/2013,7/19/2013,9,704,725,2,11,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-2141-0001,"model has only one part, joining a and b in the table",,
P,UE,M22,W09,PUEM22W09,PUEM22W09,7/30/2013,7/31/2013,2,488,489,2,15,Construct,,,,,,,
P,UE,M22,W08,PUEM22W08,PUEM22W08,8/15/2013,8/16/2013,2,396,420,2,17,Construct,,,,,,,
P,UE,M22,W07,PUEM22W07,PUEM22W07,9/2/2013,9/2/2013,1,328,344,1,12,Construct,,,,,,,
P,UE,M22,W06,PUEM22W06,PUEM22W06,9/14/2013,9/14/2013,1,252,260,1,11,Construct,,,,,,,
P,UE,M22,W05,PUEM22W05,PUEM22W05,9/25/2013,9/26/2013,2,280,273,2,9,Construct,,,,,,,
P,UE,M22,W04,PUEM22W04,PUEM22W04,10/5/2013,10/5/2013,1,204,205,1,11,Construct,,,,,,,
P,UE,M22,W03,PUEM22W03,PUEM22W03,10/16/2013,10/17/2013,2,208,160,2,6,Construct,,,,,,,
P,UE,M22,W02,PUEM22W02,PUEM22W02,10/23/2013,10/23/2013,1,158,157,1,316,Construct,,,,,,,
P,UE,M22,W01,PUEM22W01,PUEM22W01,9/4/2014,9/4/2014,1,80,74,1,-1113,Construct,,,,,,,
P,UE,M23,F07,PUEM23F07,PUEM23F07,8/18/2011,8/18/2011,1,528,482,1,19,Construct,,,,,,,
P,UE,M23,F06,PUEM23F06,PUEM23F06,9/6/2011,12/3/2012,455,681,556,2,8,Construct,,,,,,,
P,UE,M23,F05a,PUEM23F05a,PUEM23F05a,12/11/2012,12/12/2012,2,120,141,2,16,Construct,,,,,F05 does not exist in model…to be reviewed,FIXED,
P,UE,M23,F05b,PUEM23F05b,PUEM23F05b,12/28/2012,12/28/2012,1,121,80,1,7,Construct,,,,,F05 does not exist in model…to be reviewed,FIXED,
P,UE,M23,F04a,PUEM23F04a,PUEM23F04a,1/4/2013,1/4/2013,1,208,198,1,6,Construct,,,,,"model not divided, fix model",FIXED,
P,UE,M23,F04b,PUEM23F04b,PUEM23F04b,1/10/2013,1/11/2013,2,287,198,2,28,Construct,,,,,"model not divided, fix model",FIXED,
P,UE,M23,F03,PUEM23F03,PUEM23F03,2/8/2013,2/19/2013,12,567,563,2,22,Construct,Code 02.,"Joining ""F03a"" and ""F03b"" under the name of ""F03.",Code 02a.,P-P-S-2162-0001,"model not divided, fix model",Drawing revision P-P-S2163-0001-09_0 and P-P-S2163-0001-03_0 ,
P,UE,M23,F02,PUEM23F02,PUEM23F02,3/13/2013,3/13/2013,1,449,456,1,3,Construct,,,,,"model and table not divided in 2, verify",Model has one single slice check drawings P-P-S2163-0001-09_0 and P-P-S2163-0001-03_0 naming conflicts,
P,UE,M23,F01,PUEM23F01,PUEM23F01,3/16/2013,4/2/2013,18,1781,1781,5,16,Construct,Code 02.,"Joining ""F01a"" and ""F01b"" under the name of ""F01"".",Code 02a.,P-P-S-2161-0001,"model has only one part, joining a and b in the table",,
P,UE,M23,C04,PUEM23C04,PUEM23C04,4/18/2013,4/19/2013,2,816,886,2,11,Construct,,,,,,,
P,UE,M23,C03,PUEM23C03,PUEM23C03,4/30/2013,5/1/2013,2,733,700,2,19,Construct,,,,,,,
P,UE,M23,C02,PUEM23C02,PUEM23C02,5/20/2013,5/21/2013,2,301,279,2,2,Construct,,,,,,,
P,UE,M23,C01,PUEM23C01,PUEM23C01,5/23/2013,5/31/2013,9,884,822,3,11,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-2161-0001,"model has only one part, joining a and b in the table",,
P,UE,M23,W09,PUEM23W09,PUEM23W09,6/11/2013,6/12/2013,2,552,568,2,20,Construct,,,,,,,
P,UE,M23,W08,PUEM23W08,PUEM23W08,7/2/2013,7/2/2013,1,480,485,1,8,Construct,,,,,,,
P,UE,M23,W07,PUEM23W07,PUEM23W07,7/10/2013,7/11/2013,2,408,394,2,28,Construct,,,,,,,
P,UE,M23,W06,PUEM23W06,PUEM23W06,8/8/2013,8/9/2013,2,284,300,2,28,Construct,,,,,,,
P,UE,M23,W05,PUEM23W05,PUEM23W05,9/6/2013,9/6/2013,1,312,314,1,13,Construct,,,,,,,
P,UE,M23,W04,PUEM23W04,PUEM23W04,9/19/2013,9/20/2013,2,212,235,2,13,Construct,,,,,,,
P,UE,M23,W03,PUEM23W03,PUEM23W03,10/3/2013,10/4/2013,2,236,216,2,6,Construct,,,,,,,
P,UE,M23,W02,PUEM23W02,PUEM23W02,10/10/2013,10/11/2013,2,180,160,2,323,Construct,,,,,,,
P,UE,M23,W01,PUEM23W01,PUEM23W01,8/30/2014,8/30/2014,1,87,70,1,,Construct,,,,,,,
