Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Proces,,,RFC,Note,Corrections,Revision FR
P,UE,M05,C03c,PUEM05C03c,PUEM05C03c,11/28/2013,11/28/2013,1,121,118,1,41,Construct,,,,,,,
P,UE,M05,C02,PUEM05C02,PUEM05C02,1/8/2014,1/8/2014,1,413,414,1,9,Construct,,,,,,,
P,UE,M05,C01,PUEM05C01,PUEM05C01,1/17/2014,1/31/2014,15,1386,1382,2,42,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1781-0001,"model has only one part, joining a and b in the table",,
P,UE,M05,W09,PUEM05W09,PUEM05W09,3/14/2014,3/14/2014,1,693,680,1,15,Construct,,,,,,,
P,UE,M05,W08,PUEM05W08,PUEM05W08,3/29/2014,3/29/2014,1,595,576,1,16,Construct,,,,,,,
P,UE,M05,W07,PUEM05W07,PUEM05W07,4/14/2014,4/14/2014,1,482,479,1,29,Construct,,,,,,,
P,UE,M05,W06,PUEM05W06,PUEM05W06,5/13/2014,5/13/2014,1,337,356,1,10,Construct,,,,,,,
P,UE,M05,W05,PUEM05W05,PUEM05W05,5/23/2014,5/23/2014,1,372,368,1,13,Construct,,,,,,,
P,UE,M05,W04,PUEM05W04,PUEM05W04,6/5/2014,6/5/2014,1,303,279,1,14,Construct,,,,,,,
P,UE,M05,W03,PUEM05W03,PUEM05W03,6/19/2014,6/19/2014,1,278,260,1,13,Construct,,,,,,,
P,UE,M05,W02,PUEM05W02,PUEM05W02,7/2/2014,7/2/2014,1,229,239,1,77,Construct,,,,,,,
P,UE,M05,W01,PUEM05W01,PUEM05W01,9/17/2014,9/17/2014,1,89,90,1,-548,Construct,,,,,,,
P,UE,M06,F02,PUEM06F02,PUEM06F02,3/18/2013,3/19/2013,2,457,392,2,18,Construct,,,,,,,
P,UE,M06,F01,PUEM06F01,PUEM06F01,4/6/2013,4/6/2013,1,513,554,1,180,Construct,,,,,,,
P,UE,M06,C04a,PUEM06C04a,PUEM06C04a,10/3/2013,10/3/2013,1,145,109,1,-41,Construct,,,,,,,
P,UE,M06,C04b,PUEM06C04b,PUEM06C04b,8/23/2013,8/24/2013,2,133,122,2,55,Construct,,,,,,,
P,UE,M06,C04c,PUEM06C04c,PUEM06C04c,10/18/2013,10/19/2013,2,61,55,2,13,Construct,,,,,,,
