Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Notes,,
P,UW,M03,W07,PUWM03W07,PUWM03W07,11/29/2013,11/29/2013,1,366,344,1,19,Construct,,,,,,,
P,UW,M03,W06,PUWM03W06,PUWM03W06,12/18/2013,12/18/2013,1,256,261,1,17,Construct,,,,,,,
P,UW,M03,W05,PUWM03W05,PUWM03W05,01/04/2014,01/04/2014,1,300,275,1,17,Construct,,,,,,,
P,UW,M03,W04,PUWM03W04,PUWM03W04,01/21/2014,01/21/2014,1,208,206,1,45,Construct,,,,,,,
P,UW,M03,W03,PUWM03W03,PUWM03W03,03/07/2014,03/07/2014,1,200,196,1,15,Construct,,,,,,,
P,UW,M03,W02,PUWM03W02,PUWM03W02,03/22/2014,03/22/2014,1,154,156,1,97,Construct,,,,,,,
P,UW,M03,W01,PUWM03W01,PUWM03W01,06/27/2014,06/27/2014,1,79,79,1,-899,Construct,,,,,,,
P,UW,M04,F02,PUWM04F02,PUWM04F02,01/10/2012,01/10/2012,1,700,658,1,15,Construct,,,,,,,
P,UW,M04,F01,PUWM04F01,PUWM04F01,01/25/2012,01/26/2012,2,933,918,2,34,Construct,,,,,,,
P,UW,M04,C04a,PUWM04C04a,PUWM04C04a,02/29/2012,03/05/2012,6,193.5,194,2,50,Construct,Code 02.,"Joining ""C04a"" and ""C04"" under the name of ""C04"".",Code 02a.,P-P-S-1261-0002,"Model has a,band c, joining 04 with a",,
P,UW,M04,C04b,PUWM04C04b,PUWM04C04b,04/24/2012,04/24/2012,1,201,128,1,-43,Construct,,,,,,,
P,UW,M04,C04c,PUWM04C04c,PUWM04C04c,03/12/2012,03/12/2012,1,94,94,1,31,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M04,C03a,PUWM04C03a,PUWM04C03a,04/12/2012,04/12/2012,1,171,171,1,47,Construct,,,,,,,
P,UW,M04,C03b,PUWM04C03b,PUWM04C03b,05/29/2012,05/29/2012,1,208,85,1,-57,Construct,,,,,,,
P,UW,M04,C03c,PUWM04C03c,PUWM04C03c,04/02/2012,04/02/2012,1,85,189,1,227,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M04,C02,PUWM04C02,PUWM04C02,11/15/2012,11/15/2012,1,300.83,299,1,7,Construct,,,,,,,
P,UW,M04,C01,PUWM04C01,PUWM04C01,11/22/2012,12/01/2012,10,957,999,3,198,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1261-0002,"Model has no separation, uniting a and b",,
P,UW,M04,W09,PUWM04W09,PUWM04W09,06/17/2013,06/17/2013,1,520,494,1,22,Construct,,,,,,,
P,UW,M04,W08,PUWM04W08,PUWM04W08,07/09/2013,07/10/2013,2,419,419,2,22,Construct,,,,,,,
P,UW,M04,W07,PUWM04W07,PUWM04W07,08/01/2013,08/01/2013,1,360,344,1,19,Construct,,,,,,,
P,UW,M04,W06,PUWM04W06,PUWM04W06,08/20/2013,08/21/2013,2,264,260,2,21,Construct,,,,,,,
P,UW,M04,W05,PUWM04W05,PUWM04W05,09/11/2013,09/11/2013,1,267,275,1,16,Construct,,,,,,,
P,UW,M04,W04,PUWM04W04,PUWM04W04,09/27/2013,09/28/2013,2,222,206,2,23,Construct,,,,,,,
P,UW,M04,W03,PUWM04W03,PUWM04W03,10/21/2013,10/21/2013,1,200,196,1,9,Construct,,,,,,,
P,UW,M04,W02,PUWM04W02,PUWM04W02,10/30/2013,10/31/2013,2,161,157,2,257,Construct,,,,,,,
P,UW,M04,W01,PUWM04W01,PUWM04W01,07/15/2014,07/15/2014,1,73,69,1,-888,Construct,,,,,,,
P,UW,M05,F02,PUWM05F02,PUWM05F02,02/08/2012,02/09/2012,2,783,658,2,14,Construct,,,,,,,
P,UW,M05,F01,PUWM05F01,PUWM05F01,02/23/2012,02/23/2012,1,968,918,1,21,Construct,Code 05.,"Lift ""F01a"" will be renamed as ""F01"".",Code 05a.,P-P-S-1281-0001,"removing the ""a"" from the name in the table.",,
P,UW,M05,C04a,PUWM05C04a,PUWM05C04a,03/15/2012,03/17/2012,3,194,194,2,60,Construct,,,,,,,
P,UW,M05,C04b,PUWM05C04b,PUWM05C04b,05/16/2012,05/17/2012,2,216,140,2,-16,Construct,,,,,Table and model have correct name..review model.,,
