Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,,,,
P,H3W,6C,W14b,PH3W6CW14b,PH3W6CW14b,07/26/2013,07/27/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""W14 a,b,c"" will be separated into ""W14a"", ""W14b"" and ""W14c"".  All quantities will be assigned to ""W14a"".",Code 03a.,P-P-S-0746-0003,,,,
P,H3W,6C,W14c,PH3W6CW14c,PH3W6CW14c,07/26/2013,07/27/2013,2,0,0,0,19,Construct,Code 03.,"Lift ""W14 a,b,c"" will be separated into ""W14a"", ""W14b"" and ""W14c"".  All quantities will be assigned to ""W14a"".",Code 03a.,P-P-S-0746-0003,,,,
P,H3W,6C,W13a,PH3W6CW13a,PH3W6CW13a,08/15/2013,08/16/2013,2,860,800,2,-1,Construct,Code 03.,"Lift ""W13 a,b,c"" will be separated into ""W13a"", ""W13b"" and ""W13c"".  All quantities will be assigned to ""W13a"".",Code 03a.,P-P-S-0746-0003,,,,
P,H3W,6C,W13b,PH3W6CW13b,PH3W6CW13b,08/15/2013,08/16/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""W13 a,b,c"" will be separated into ""W13a"", ""W13b"" and ""W13c"".  All quantities will be assigned to ""W13a"".",Code 03a.,P-P-S-0746-0003,,,,
P,H3W,6C,W13c,PH3W6CW13c,PH3W6CW13c,08/15/2013,08/16/2013,2,0,0,0,26,Construct,Code 03.,"Lift ""W13 a,b,c"" will be separated into ""W13a"", ""W13b"" and ""W13c"".  All quantities will be assigned to ""W13a"".",Code 03a.,P-P-S-0746-0003,,,,
P,H3W,6C,W12,PH3W6CW12,PH3W6CW12,09/11/2013,09/12/2013,2,290,300,2,11,Construct,,,,,,,,
P,H3W,6C,W11,PH3W6CW11,PH3W6CW11,09/23/2013,09/23/2013,1,484,505,1,17,Construct,,,,,,,,
P,H3W,6C,W10,PH3W6CW10,PH3W6CW10,10/10/2013,10/11/2013,2,1068,1070,2,18,Construct,,,,,,,,
P,H3W,6C,W09a,PH3W6CW09a,PH3W6CW09a,10/29/2013,10/30/2013,2,588,605,2,-1,Construct,Code 03.,"Lift ""W09 a+b+c"" will be separated into ""W09a"", ""W09b"" and ""W09c"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6C,W09b,PH3W6CW09b,PH3W6CW09b,10/29/2013,10/30/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""W09 a+b+c"" will be separated into ""W09a"", ""W09b"" and ""W09c"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6C,W09c,PH3W6CW09c,PH3W6CW09c,10/29/2013,10/30/2013,2,0,0,0,16,Construct,Code 03.,"Lift ""W09 a+b+c"" will be separated into ""W09a"", ""W09b"" and ""W09c"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6C,W08a,PH3W6CW08a,PH3W6CW08a,11/15/2013,11/16/2013,2,563,585,2,-1,Construct,Code 03.,"Lift ""W08 a+b+c"" will be separated into ""W08a"", ""W08b"" and ""W08c"".  All quantities will be assigned to ""W08a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6C,W08b,PH3W6CW08b,PH3W6CW08b,11/15/2013,11/16/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""W08 a+b+c"" will be separated into ""W08a"", ""W08b"" and ""W08c"".  All quantities will be assigned to ""W08a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6C,W08c,PH3W6CW08c,PH3W6CW08c,11/15/2013,11/16/2013,2,0,0,0,12,Construct,Code 03.,"Lift ""W08 a+b+c"" will be separated into ""W08a"", ""W08b"" and ""W08c"".  All quantities will be assigned to ""W08a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6C,W07,PH3W6CW07,PH3W6CW07,11/28/2013,11/29/2013,2,1056,1065,2,11,Construct,,,,,,,,
P,H3W,6C,W06,PH3W6CW06,PH3W6CW06,12/10/2013,12/11/2013,2,1116,1070,2,8,Construct,,,,,,,,
P,H3W,6C,W05,PH3W6CW05,PH3W6CW05,12/19/2013,12/20/2013,2,1112,1070,2,21,Construct,,,,,,,,
P,H3W,6C,W04,PH3W6CW04,PH3W6CW04,01/10/2014,01/10/2014,1,1050,1070,1,54,Construct,,,,,,,,
P,H3W,6C,W03,PH3W6CW03,PH3W6CW03,03/05/2014,03/05/2014,1,1073,1070,1,23,Construct,,,,,,,,
P,H3W,6C,W02,PH3W6CW02,PH3W6CW02,03/28/2014,03/28/2014,1,937,896,1,52,Construct,,,,,,,,
P,H3W,6C,W01,PH3W6CW01,PH3W6CW01,05/19/2014,05/19/2014,1,465,486,1,-740,Construct,,,,,,,,
