Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Activity Type,Days before next lift,,Revision Process,,RFC number
P,LW,M04,F03,PLWM04F03,PLWM04F03,4/17/2012,4/24/2012,8,0,0,0,Construct,14,Code 03.,"Lift ""F02&F03"" will be converted into  ""F02"" and ""F03"".    All quantities will be assigned to ""F02"".",Code 03a.,P-P-S-3260-0001
P,LW,M04,F01,PLWM04F01,PLWM04F01,5/8/2012,5/9/2012,2,698,776,2,Construct,31,,,,
P,LW,M04,C04 a,PLWM04C04a,PLWM04C04a,6/9/2012,6/9/2012,1,364,318,1,Construct,2,,,,
P,LW,M04,C04 c,PLWM04C04c,PLWM04C04c,6/11/2012,6/12/2012,2,96,93,2,Construct,20,,,,
P,LW,M04,C03 a,PLWM04C03a,PLWM04C03a,7/2/2012,7/3/2012,2,407,364,2,Construct,-1,,,,
P,LW,M04,C03 c,PLWM04C03c,PLWM04C03c,7/2/2012,7/2/2012,1,56,24,1,Construct,21,,,,
P,LW,M04,C04 b,PLWM04C04b,PLWM04C04b,7/23/2012,7/23/2012,1,235,209,1,Construct,43,,,,
P,LW,M04,C03 b,PLWM04C03b,PLWM04C03b,9/4/2012,9/4/2012,1,217,204,1,Construct,13,,,,
P,LW,M04,C02,PLWM04C02,PLWM04C02,9/17/2012,9/18/2012,2,393,376,2,Construct,7,,,,
P,LW,M04,C01,PLWM04C01,PLWM04C01,9/25/2012,10/3/2012,9,1366,1243,3,Construct,7,Code 02.,"Joining ""C01a"" and ""C01b"" as ""C01""",Code 02a.,P-P-S-3261-0002
P,LW,M04,W11,PLWM04W11,PLWM04W11,10/10/2012,10/11/2012,2,518,494,2,Construct,8,,,,
P,LW,M04,W10,PLWM04W10,PLWM04W10,10/19/2012,10/19/2012,1,416,418,1,Construct,12,,,,
P,LW,M04,W09,PLWM04W09,PLWM04W09,10/31/2012,10/31/2012,1,336.52,344,1,Construct,8,,,,
P,LW,M04,W08,PLWM04W08,PLWM04W08,11/8/2012,11/8/2012,1,269.42,251,1,Construct,11,,,,
P,LW,M04,W07,PLWM04W07,PLWM04W07,11/19/2012,11/19/2012,1,205,208,1,Construct,8,,,,
P,LW,M04,W06,PLWM04W06,PLWM04W06,11/27/2012,11/28/2012,2,221,218,2,Construct,7,,,,
P,LW,M04,W05,PLWM04W05,PLWM04W05,12/5/2012,12/5/2012,1,180,175,1,Construct,6,,,,
P,LW,M04,W04,PLWM04W04,PLWM04W04,12/11/2012,12/11/2012,1,157,158,1,Construct,9,,,,
P,LW,M04,W03,PLWM04W03,PLWM04W03,12/20/2012,12/20/2012,1,141,141,1,Construct,16,,,,
P,LW,M04,W02,PLWM04W02,PLWM04W02,1/5/2013,5/29/2013,145,137,176,1,Construct,450,Code 02.,"Joining ""W02"" and ""F03->W02"" as ""W02"".",Code 02a.,P-P-S-3262-0001
P,LW,M04,W05,PLWM04W05,PLWM04W05,8/22/2014,8/22/2014,1,1,0,1,Construct,14,,,,
P,LW,M04,W01,PLWM04W01,PLWM04W01,9/5/2014,5/18/2015,256,97,99,3,Construct,-1147,,,,
P,LW,M05,F02,PLWM05F02,PLWM05F02,3/27/2012,3/28/2012,2,934,897,2,Construct,-1,Code 03.,"Lift ""F02&F03"" will be converted into  ""F02"" and ""F03"".    All quantities will be assigned to ""F02"".",Code 03a.,P-P-S-3280-0001
P,LW,M05,F03,PLWM05F03,PLWM05F03,3/27/2012,3/28/2012,2,0,0,0,Construct,6,Code 03.,"Lift ""F02&F03"" will be converted into  ""F02"" and ""F03"".    All quantities will be assigned to ""F02"".",Code 03a.,P-P-S-3280-0001
P,LW,M05,F01,PLWM05F01,PLWM05F01,4/3/2012,4/4/2012,2,776,776,2,Construct,50,,,,
P,LW,M05,C04 a,PLWM05C04a,PLWM05C04a,5/24/2012,5/25/2012,2,302,318,2,Construct,0,,,,
P,LW,M05,C04 c,PLWM05C04c,PLWM05C04c,5/25/2012,5/25/2012,1,104,93,1,Construct,25,,,,
P,LW,M05,C03 c,PLWM05C03c,PLWM05C03c,6/19/2012,6/19/2012,1,84,80,1,Construct,8,,,,
P,LW,M05,C03 a,PLWM05C03a,PLWM05C03a,6/27/2012,6/27/2012,1,357,364,1,Construct,2,,,,
P,LW,M05,C04 b,PLWM05C04b,PLWM05C04b,6/29/2012,6/30/2012,2,219,209,2,Construct,11,,,,
P,LW,M05,C03 b,PLWM05C03b,PLWM05C03b,7/11/2012,7/12/2012,2,211,204,2,Construct,26,,,,
P,LW,M05,C02,PLWM05C02,PLWM05C02,8/7/2012,8/7/2012,1,397,376,1,Construct,14,,,,
P,LW,M05,C01,PLWM05C01,PLWM05C01,8/21/2012,8/29/2012,9,1237,1243,3,Construct,7,Code 02.,"Joining ""C01a"" and ""C01b"" as ""C01""",Code 02a.,P-P-S-3281-0002
P,LW,M05,W11,PLWM05W11,PLWM05W11,9/5/2012,9/6/2012,2,510,494,2,Construct,7,,,,
P,LW,M05,W10,PLWM05W10,PLWM05W10,9/13/2012,9/14/2012,2,453,418,2,Construct,10,,,,
P,LW,M05,W09,PLWM05W09,PLWM05W09,9/24/2012,9/24/2012,1,397,344,1,Construct,9,,,,
P,LW,M05,W08,PLWM05W08,PLWM05W08,10/3/2012,10/5/2012,3,261,251,2,Construct,6,,,,
P,LW,M05,W07,PLWM05W07,PLWM05W07,10/11/2012,10/12/2012,2,232,208,2,Construct,8,,,,
P,LW,M05,W06,PLWM05W06,PLWM05W06,10/20/2012,10/20/2012,1,225,218,1,Construct,5,,,,
P,LW,M05,W05,PLWM05W05,PLWM05W05,10/25/2012,10/25/2012,1,195,175,1,Construct,19,,,,
P,LW,M05,W04,PLWM05W04,PLWM05W04,11/13/2012,11/14/2012,2,181.5,158,2,Construct,8,,,,
P,LW,M05,W03,PLWM05W03,PLWM05W03,11/22/2012,11/23/2012,2,159,141,2,Construct,5,,,,
P,LW,M05,W02,PLWM05W02,PLWM05W02,11/28/2012,11/28/2012,1,121,120,1,Construct,636,,,,
P,LW,M05,W01,PLWM05W01,PLWM05W01,8/26/2014,8/26/2014,1,56.5,79,1,Construct,-351,,,,
P,LW,M06,F03,PLWM06F03,PLWM06F03,9/9/2013,9/10/2013,2,624,536,2,Construct,-1,Code 03.,"Lift ""F02&F03"" will be converted into  ""F02"" and ""F03"".    All quantities will be assigned to ""F03"".",Code 03a.,P-P-S-3300-0001
P,LW,M06,F02,PLWM06F02,PLWM06F02,9/9/2013,9/10/2013,2,0,0,0,Construct,6,Code 03.,"Lift ""F02&F03"" will be converted into  ""F02"" and ""F03"".    All quantities will be assigned to ""F03"".",Code 03a.,P-P-S-3300-0001
P,LW,M06,F01,PLWM06F01,PLWM06F01,9/16/2013,9/17/2013,2,452,518,2,Construct,20,,,,
P,LW,M06,C04 a,PLWM06C04a,PLWM06C04a,10/7/2013,10/7/2013,1,230,195,1,Construct,10,,,,
P,LW,M06,C04 b,PLWM06C04b,PLWM06C04b,10/17/2013,10/17/2013,1,129,124,1,Construct,13,,,,
P,LW,M06,C03 a,PLWM06C03a,PLWM06C03a,10/30/2013,10/31/2013,2,217,224,2,Construct,2,,,,
P,LW,M06,C04 c,PLWM06C04c,PLWM06C04c,11/2/2013,11/2/2013,1,66,57,1,Construct,20,,,,
P,LW,M06,C03 c,PLWM06C03c,PLWM06C03c,11/22/2013,11/22/2013,1,56,49,1,Construct,53,,,,
P,LW,M06,C03 b,PLWM06C03b,PLWM06C03b,1/14/2014,1/14/2014,1,113,113,1,Construct,72,,,,
P,LW,M06,C02,PLWM06C02,PLWM06C02,3/27/2014,3/27/2014,1,257,227,1,Construct,2,,,,
P,LW,M06,C01,PLWM06C01,PLWM06C01,3/29/2014,4/2/2014,5,653,753,2,Construct,14,Code 02.,"Joining ""C01a"" and ""C01b"" as ""C01""",Code 02a.,P-P-S-3301-0001
P,LW,M06,W11,PLWM06W11,PLWM06W11,4/16/2014,4/16/2014,1,284,293,1,Construct,23,,,,
P,LW,M06,W10,PLWM06W10,PLWM06W10,5/9/2014,5/10/2014,2,269,247,2,Construct,7,,,,
P,LW,M06,W09,PLWM06W09,PLWM06W09,5/17/2014,5/17/2014,1,187,202,1,Construct,7,,,,
P,LW,M06,W08,PLWM06W08,PLWM06W08,5/24/2014,5/24/2014,1,136,134,1,Construct,3,,,,
P,LW,M06,W07,PLWM06W07,PLWM06W07,5/27/2014,5/27/2014,1,116,119,1,Construct,3,,,,
P,LW,M06,W06,PLWM06W06,PLWM06W06,5/30/2014,5/30/2014,1,114,124,1,Construct,5,,,,
P,LW,M06,W05,PLWM06W05,PLWM06W05,6/4/2014,6/4/2014,1,96,99,1,Construct,7,,,,
P,LW,M06,W04,PLWM06W04,PLWM06W04,6/11/2014,6/11/2014,1,96,90,1,Construct,12,,,,
P,LW,M06,W03,PLWM06W03,PLWM06W03,6/23/2014,6/23/2014,1,94,85,1,Construct,4,,,,
P,LW,M06,W02,PLWM06W02,PLWM06W02,6/27/2014,6/27/2014,1,79,77,1,Construct,34,,,,
P,LW,M06,W01,PLWM06W01,PLWM06W01,7/31/2014,8/1/2014,2,57,40,2,Construct,-309,,,,
P,LW,M07,F02,PLWM07F02,PLWM07F02,9/26/2013,9/27/2013,2,864,792,2,Construct,10,,,,
P,LW,M07,F01,PLWM07F01,PLWM07F01,10/7/2013,10/8/2013,2,1160,1155,2,Construct,7,,,,
P,LW,M07,C04 a,PLWM07C04a,PLWM07C04a,10/15/2013,10/16/2013,2,546,419,2,Construct,12,,,,
P,LW,M07,C03 a,PLWM07C03a,PLWM07C03a,10/28/2013,10/28/2013,1,541,531,1,Construct,3,,,,
P,LW,M07,C04 c,PLWM07C04c,PLWM07C04c,10/31/2013,10/31/2013,1,125,111,1,Construct,12,,,,
P,LW,M07,C03 c,PLWM07C03c,PLWM07C03c,11/12/2013,11/13/2013,2,113,110,2,Construct,29,,,,
P,LW,M07,C04 b,PLWM07C04b,PLWM07C04b,12/12/2013,12/13/2013,2,241,230,2,Construct,22,,,,
P,LW,M07,C03 b,PLWM07C03b,PLWM07C03b,1/4/2014,1/4/2014,1,240,230,1,Construct,24,,,,
P,LW,M07,C02,PLWM07C02,PLWM07C02,1/28/2014,1/28/2014,1,511,514,1,Construct,4,,,,
P,LW,M07,C01,PLWM07C01,PLWM07C01,2/1/2014,3/7/2014,35,1692,1770,2,Construct,22,Code 02.,"Joining ""C01a"" and ""C01b"" as ""C01""",Code 02a.,P-P-S-3321-0002
P,LW,M07,W11,PLWM07W11,PLWM07W11,3/29/2014,3/29/2014,1,661,649,1,Construct,11,,,,
P,LW,M07,W10,PLWM07W10,PLWM07W10,4/9/2014,4/9/2014,1,536,545,1,Construct,8,,,,
P,LW,M07,W09,PLWM07W09,PLWM07W09,4/17/2014,4/17/2014,1,448,441,1,Construct,28,,,,
P,LW,M07,W08,PLWM07W08,PLWM07W08,5/15/2014,5/15/2014,1,310,316,1,Construct,8,,,,
P,LW,M07,W07,PLWM07W07,PLWM07W07,5/23/2014,5/23/2014,1,240,259,1,Construct,17,,,,
P,LW,M07,W06,PLWM07W06,PLWM07W06,6/9/2014,6/9/2014,1,269,269,1,Construct,10,,,,
P,LW,M07,W05,PLWM07W05,PLWM07W05,6/19/2014,6/20/2014,2,216,211,2,Construct,7,,,,
P,LW,M07,W04,PLWM07W04,PLWM07W04,6/27/2014,6/27/2014,1,199,199,1,Construct,14,,,,
P,LW,M07,W03,PLWM07W03,PLWM07W03,7/11/2014,7/11/2014,1,161,199,1,Construct,10,,,,
P,LW,M07,W02,PLWM07W02,PLWM07W02,7/21/2014,7/21/2014,1,200,193,1,Construct,19,,,,
P,LW,M07,W01,PLWM07W01,PLWM07W01,8/9/2014,8/9/2014,1,109,118,1,Construct,-528,,,,
P,LW,M08,F03,PLWM08F03,PLWM08F03,2/27/2013,2/27/2013,1,224,313,1,Construct,7,,,,
P,LW,M08,F02,PLWM08F02,PLWM08F02,3/6/2013,3/7/2013,2,900,740,2,Construct,13,,,,
P,LW,M08,F01,PLWM08F01,PLWM08F01,3/20/2013,3/21/2013,2,712,746,2,Construct,16,,,,
P,LW,M08,C04 b,PLWM08C04b,PLWM08C04b,4/6/2013,4/6/2013,1,192,192,1,Construct,9,,,,
P,LW,M08,C04 c,PLWM08C04c,PLWM08C04c,4/15/2013,4/15/2013,1,105,92,1,Construct,11,,,,
P,LW,M08,C04 a,PLWM08C04a,PLWM08C04a,4/26/2013,4/26/2013,1,232,201,1,Construct,11,,,,
P,LW,M08,C03 a,PLWM08C03a,PLWM08C03a,5/7/2013,5/7/2013,1,201,227,1,Construct,30,,,,
P,LW,M08,C03 b,PLWM08C03b,PLWM08C03b,6/6/2013,6/6/2013,1,217,187,1,Construct,5,,,,
P,LW,M08,C03 c,PLWM08C03c,PLWM08C03c,6/11/2013,6/11/2013,1,89,80,1,Construct,17,,,,
P,LW,M08,C02,PLWM08C02,PLWM08C02,6/28/2013,6/28/2013,1,305,306,1,Construct,8,,,,
P,LW,M08,C01,PLWM08C01,PLWM08C01,7/6/2013,7/27/2013,22,1101,1052,3,Construct,124,Code 02.,"Joining ""C01a"" and ""C01b"" as ""C01""",Code 02a.,P-P-S-3341-0002
P,LW,M08,W11,PLWM08W11,PLWM08W11,11/28/2013,11/28/2013,1,472,481,1,Construct,13,,,,
P,LW,M08,W10,PLWM08W10,PLWM08W10,12/11/2013,12/11/2013,1,393,406,1,Construct,8,,,,
P,LW,M08,W09,PLWM08W09,PLWM08W09,12/19/2013,12/20/2013,2,361,330,2,Construct,24,,,,
P,LW,M08,W08,PLWM08W08,PLWM08W08,1/13/2014,1/13/2014,1,253,239,1,Construct,43,,,,
P,LW,M08,W07,PLWM08W07,PLWM08W07,2/25/2014,2/25/2014,1,201,197,1,Construct,38,,,,
P,LW,M08,W06,PLWM08W06,PLWM08W06,4/4/2014,4/4/2014,1,201,206,1,Construct,38,,,,
P,LW,M08,W05,PLWM08W05,PLWM08W05,5/12/2014,5/12/2014,1,152,164,1,Construct,10,,,,
