Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,,,,
P,CU1,2W,09,PCU12W09,PCU12W09,12/6/2012,12/6/2012,1,273,245,1,33,Construct,,,,,,,,
P,CU1,2W,08,PCU12W08,PCU12W08,1/8/2013,1/9/2013,2,251,174,2,17,Construct,,,,,,,,
P,CU1,2W,07,PCU12W07,PCU12W07,1/26/2013,1/26/2013,1,185,174,1,25,Construct,,,,,,,,
P,CU1,2W,06,PCU12W06,PCU12W06,2/20/2013,2/20/2013,1,189,174,1,21,Construct,,,,,,,,
P,CU1,2W,05,PCU12W05,PCU12W05,3/13/2013,3/14/2013,2,185,174,2,12,Construct,,,,,,,,
P,CU1,2W,04,PCU12W04,PCU12W04,3/26/2013,3/28/2013,3,201,174,3,36,Construct,,,,,,,,
P,CU1,2W,03,PCU12W03,PCU12W03,5/3/2013,5/3/2013,1,112,110,1,377,Construct,,,,,,,,
P,CU1,2W,02b,PCU12W02b,PCU12W02b,5/15/2014,5/15/2014,0,57,49,1,6,Construct,Code 05.,"Lift ""W2b"" will be renamed as ""2b"".",Code 05a.,P-P-S-5622-0001.,,,,
P,CU1,2W,02a,PCU12W02a,PCU12W02a,5/21/2014,5/21/2014,0,65,50,1,65,Construct,,,,,,,,
P,CU1,2W,01,PCU12W01,PCU12W01,7/25/2014,11/1/2014,100,76,76,0,264,Construct,Code 02.,"Joining ""01"" and ""01 (2nd stage)"" under the name of ""01"".",Code 02a.,P-P-S-5622-0001.,,,,
P,CU1,2W,IWS,PCU12WIWS,PCU12WIWS,7/23/2015,9/19/2015,59,220,265,26,,Construct,Code 08.,"A new row was created under the name ""IWS"" to combine all lifts corresponding to Internal Walls and/or Stairs.",Code 08a.,P-P-S-5622-0001.,,,,Row 01 (2ndstage) was not accounted for being 2nd Stage concrete
