Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,,,,
P,CU2,2E,13b,PCU22E13b,PCU22E13b,10/20/2011,10/21/2011,2,218,129,2,141,Construct,,,,,,,,
P,CU2,2E,12a,PCU22E12a,PCU22E12a,03/10/2012,03/11/2012,2,336,291,1,-1,Construct,Code 03.,"Lift ""12 a+b"" will be divided into ""12a"" and ""12b"".  All quantities will be assigned to ""12a"".",Code 03a.,P-P-S-5733-0010,,,,
P,CU2,2E,12b,PCU22E12b,PCU22E12b,03/10/2012,03/11/2012,2,0,0,0,31,Construct,Code 03.,"Lift ""12 a+b"" will be divided into ""12a"" and ""12b"".  All quantities will be assigned to ""12a"".",Code 03a.,P-P-S-5733-0010,,,,
P,CU2,2E,11,PCU22E11,PCU22E11,04/11/2012,04/11/2012,1,140,125,,27,Construct,,,,,,,,
P,CU2,2E,10,PCU22E10,PCU22E10,05/08/2012,05/08/2012,1,268,245,,38,Construct,,,,,,,,
P,CU2,2E,9,PCU22E09,PCU22E09,06/15/2012,06/15/2012,1,250,245,1,22,Construct,,,,,,,,
P,CU2,2E,8,PCU22E08,PCU22E08,07/07/2012,07/07/2012,1,174,174,1,16,Construct,,,,,,,,
P,CU2,2E,7,PCU22E07,PCU22E07,07/23/2012,07/23/2012,1,177,174,1,22,Construct,,,,,,,,
P,CU2,2E,6,PCU22E06,PCU22E06,08/14/2012,08/14/2012,1,184,174,1,25,Construct,,,,,,,,
P,CU2,2E,5,PCU22E05,PCU22E05,09/08/2012,09/08/2012,1,176,174,1,33,Construct,,,,,,,,
P,CU2,2E,4,PCU22E04,PCU22E04,10/11/2012,10/11/2012,1,184,174,1,33,Construct,,,,,,,,
P,CU2,2E,3,PCU22E03,PCU22E03,11/13/2012,11/14/2012,2,160.11,110,,608,Construct,,,,,,,,
P,CU2,2E,2b,PCU22E02b,PCU22E02b,07/15/2014,07/26/2014,12,120,105,2,1,Construct,Code 03.,"Lift ""W02"" will be divided into ""W02b"" and ""W02a"".  All quantities will be assigned to ""W02b"".",Code 03a.,P-P-S-5735-0002,,,,
P,CU2,2E,2a,PCU22E02a,PCU22E02a,07/27/2014,07/27/2014,1,0,0,0,65,Construct,Code 03.,"Lift ""W02"" will be divided into ""W02b"" and ""W02a"".  All quantities will be assigned to ""W02b"".",Code 03a.,P-P-S-5735-0002,,,,
P,CU2,2E,1,PCU22E01,PCU22E01,09/30/2014,09/30/2014,1,71,73,1,-193,Construct,,,,,,,,
P,CU2,2E,Window NE,PCU22EWindowNE,PCU22EWindowNE,03/21/2014,03/21/2014,0,3,3,1,0,Construct,Code 06.,"Lift ""Window NE"" does not exist in the RFc.",Code 06a.,P-P-S-5733-0010,,,,
P,CU2,2E,Window NW,PCU22EWindowNW,PCU22EWindowNW,03/21/2014,03/21/2014,0,4,3,1,0,Construct,Code 06.,"Lift ""Window NW"" does not exist in the RFc.",Code 06a.,P-P-S-5733-0010,,,,
P,CU2,2E,Window E,PCU22EWindowE,PCU22EWindowE,03/21/2014,03/21/2014,0,3,3,1,414,Construct,Code 06.,"Lift ""Window E"" does not exist in the RFc.",Code 06a.,P-P-S-5733-0010,,,,
P,CU2,2E,IWS,PCU22EIWS,PCU22EIWS,05/09/2015,09/16/2015,131,299,320,31,-1472,Construct,Code 08.,"A new row was created under the name ""IWS"" to combine all lifts corresponding to Internal Walls and/or Stairs.",Code 08a.,P-P-S-5733-0010,,,,"Quantities of ""Windows"" were not aacounted"""
P,CU2,1W,4,PCU21W04,PCU21W04,09/05/2011,09/05/2011,1,472,430,1,14,Construct,,,,,,,,
P,CU2,1W,03N,PCU21W03N,PCU21W03N,09/19/2011,09/23/2011,5,248,216,2,-9,Construct,,,,,,,,
P,CU2,1W,03S,PCU21W03S,PCU21W03S,09/14/2011,09/14/2011,1,384,216,1,-62,Construct,,,,,,,,
P,CU2,2W,16,PCU22W16,PCU22W16,07/14/2011,07/14/2011,1,96,95,1,6,Construct,,,,,,,,
P,CU2,2W,15,PCU22W15,PCU22W15,07/20/2011,07/20/2011,1,88,44,1,11,Construct,,,,,,,,
P,CU2,2W,14,PCU22W14,PCU22W14,07/31/2011,07/31/2011,1,437,357,1,31,Construct,,,,,,,,
P,CU2,2W,13a,PCU22W13a,PCU22W13a,08/31/2011,08/31/2011,1,323,245,1,-8,Construct,,,,,,,,
P,CU2,2W,13b,PCU22W13b,PCU22W13b,08/23/2011,08/23/2011,1,200,129,1,454,Construct,,,,,,,,
P,CU2,2W,12a,PCU22W12a,PCU22W12a,11/19/2012,11/19/2012,1,335,291,1,0,Construct,Code 03.,"Lift ""12 a+b"" will be divided into ""12a"" and ""12b"".  All quantities will be assigned to ""12a"".",Code 03a.,P-P-S-5733-0010,,,,
P,CU2,2W,12b,PCU22W12b,PCU22W12b,11/19/2012,11/19/2012,1,0,0,1,32,Construct,Code 03.,"Lift ""12 a+b"" will be divided into ""12a"" and ""12b"".  All quantities will be assigned to ""12a"".",Code 03a.,P-P-S-5733-0010,,,,
P,CU2,2W,11,PCU22W11,PCU22W11,12/21/2012,12/26/2012,6,204,125,3,33,Construct,,,,,,,,
P,CU2,2W,10,PCU22W10,PCU22W10,01/28/2013,01/28/2013,1,279,245,1,37,Construct,,,,,,,,
P,CU2,2W,9,PCU22W09,PCU22W09,03/06/2013,03/06/2013,1,265,245,1,31,Construct,,,,,,,,
P,CU2,2W,8,PCU22W08,PCU22W08,04/06/2013,04/06/2013,1,190,174,1,19,Construct,,,,,,,,
P,CU2,2W,7,PCU22W07,PCU22W07,04/25/2013,04/26/2013,2,165,174,2,31,Construct,,,,,,,,
P,CU2,2W,6,PCU22W06,PCU22W06,05/27/2013,05/27/2013,1,176,174,1,144,Construct,,,,,,,,
P,CU2,2W,5,PCU22W05,PCU22W05,10/18/2013,10/19/2013,2,188,174,2,12,Construct,,,,,,,,
P,CU2,2W,4,PCU22W04,PCU22W04,10/31/2013,11/01/2013,2,201.62,174,2,14,Construct,,,,,,,,
P,CU2,2W,3,PCU22W03,PCU22W03,11/15/2013,11/15/2013,1,111,112,1,12,Construct,,,,,,,,
P,CU2,2W,2b,PCU22W02b,PCU22W02b,11/27/2013,11/27/2013,1,106,113,1,1,Construct,Code 03.,"Lift ""W02"" will be divided into ""W02b"" and ""W02a"".  All quantities will be assigned to ""W02b"".",Code 03a.,P-P-S-5708-0002,,,,
P,CU2,2W,2a,PCU22W02a,PCU22W02a,11/28/2013,11/28/2013,1,0,0,0,373,Construct,Code 03.,"Lift ""W02"" will be divided into ""W02b"" and ""W02a"".  All quantities will be assigned to ""W02b"".",Code 03a.,P-P-S-5708-0002,,,,
P,CU2,2W,1,PCU22W01,PCU22W01,12/06/2014,12/06/2014,1,61,62,1,151,Construct,,,,,,,,
P,CU2,2W,IWS,PCU22WIWS,PCU22WIWS,05/06/2015,09/15/2015,133,270,293,29,,Construct,Code 08.,"A new row was created under the name ""IWS"" to combine all lifts corresponding to Internal Walls and/or Stairs.",Code 08a.,P-P-S-5733-0010,,,,
