Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Note,Corrections,Further Notse
P,ME,M05,W09,PMEM05W09,PMEM05W09,4/19/2013,4/20/2013,2,657,682,2,54,Construct,Code 02.,"Joining ""W09"" and ""F03->W09"" under the name of ""W09"".",Code 02a.,P-P-S-2781-0002,"removing F03->W09, insignificant quantity, strange lift name","F03-<W09 was not included.  No actual concrete poured, it was only a planned quantity.",
P,ME,M05,W08,PMEM05W08,PMEM05W08,6/13/2013,6/14/2013,2,581,576,2,12,Construct,,,,,,,
P,ME,M05,W07,PMEM05W07,PMEM05W07,6/26/2013,6/27/2013,2,457,471,2,383,Construct,,,,,,,
P,ME,M05,W06,PMEM05W06,PMEM05W06,7/15/2014,7/15/2014,1,412,383,1,13,Construct,,,,,,,
P,ME,M05,W05,PMEM05W05,PMEM05W05,7/28/2014,7/28/2014,1,367,387,1,11,Construct,,,,,,,
P,ME,M05,W04,PMEM05W04,PMEM05W04,8/8/2014,8/8/2014,1,297,317,1,10,Construct,,,,,,,
P,ME,M05,W03a,PMEM05W03a,PMEM05W03a,8/18/2014,8/18/2014,1,278,298,1,0,Construct,Code 03.,"Lift ""W03"" will be separated into ""W03a"" and ""W03b"". All quantities will be assigned to ""W03a"".",Code 03a.,P-P-S-2783-0001,,,
P,ME,M05,W03b,PMEM05W03b,PMEM05W03b,8/18/2014,8/18/2014,1,0,0,0,10,Construct,Code 03.,"Lift ""W03"" will be separated into ""W03a"" and ""W03b"". All quantities will be assigned to ""W03a"".",Code 03a.,P-P-S-2783-0001,,,
P,ME,M05,W02,PMEM05W02,PMEM05W02,8/28/2014,8/29/2014,2,268,247,2,41,Construct,,,,,,,
P,ME,M05,W01,PMEM05W01,PMEM05W01,10/9/2014,1/20/2015,104,104,112,3,-976,Construct,,,,,,,
P,ME,M06,F03,PMEM06F03,PMEM06F03,5/19/2012,6/15/2012,28,316,248,2,38,Construct,,,,,,,
P,ME,M06,F02,PMEM06F02,PMEM06F02,7/23/2012,7/23/2012,1,474,472,1,14,Construct,,,,,,,
P,ME,M06,F01,PMEM06F01,PMEM06F01,8/6/2012,10/23/2012,79,536,512,2,20,Construct,Code 02.,"Joining ""F01a"" and ""F01c""under the name of ""F01"".",Code 02a.,P-P-S-2803-0002,"Model has no a and c, joining a and c to f01",,
P,ME,M06,C04 a,PMEM06C04a,PMEM06C04a,11/12/2012,11/13/2012,2,104,104,2,-1,Construct,,,,,,,
P,ME,M06,C04 c,PMEM06C04c,PMEM06C04c,11/12/2012,11/12/2012,1,45,45,1,8,Construct,,,,,,,
P,ME,M06,C03 a,PMEM06C03a,PMEM06C03a,11/20/2012,11/21/2012,2,97,97,2,7,Construct,,,,,,,
P,ME,M06,C03 c,PMEM06C03c,PMEM06C03c,11/28/2012,11/28/2012,1,49,49,1,111,Construct,,,,,,,
P,ME,M06,C04 b,PMEM06C04b,PMEM06C04b,3/19/2013,3/20/2013,2,141,111,2,16,Construct,,,,,,,
P,ME,M06,C03 b,PMEM06C03b,PMEM06C03b,4/5/2013,4/5/2013,1,145,122,1,38,Construct,,,,,,,
P,ME,M06,C02,PMEM06C02,PMEM06C02,5/13/2013,5/14/2013,2,208,179,2,3,Construct,,,,,,,
P,ME,M06,C01,PMEM06C01,PMEM06C01,5/17/2013,5/24/2013,8,642,602,2,52,Construct,Code 02.,"Joining ""C01a"" and ""C01b""under the name of ""C01"".",Code 02a.,P-P-S-2803-0002,"Model has no part a or b, joining pours",,
P,ME,M06,W09,PMEM06W09,PMEM06W09,7/15/2013,7/15/2013,1,280,293,1,17,Construct,,,,,,,
P,ME,M06,W08,PMEM06W08,PMEM06W08,8/1/2013,8/1/2013,1,264,247,1,21,Construct,,,,,,,
P,ME,M06,W07,PMEM06W07,PMEM06W07,8/22/2013,8/23/2013,2,213,202,2,14,Construct,,,,,,,
P,ME,M06,W06,PMEM06W06,PMEM06W06,9/6/2013,9/6/2013,1,177,162,1,197,Construct,,,,,,,
P,ME,M06,W05,PMEM06W05,PMEM06W05,3/22/2014,3/22/2014,1,141,161,1,16,Construct,,,,,,,
P,ME,M06,W04,PMEM06W04,PMEM06W04,4/7/2014,4/7/2014,1,138,131,1,52,Construct,,,,,,,
P,ME,M06,W03a,PMEM06W03a,PMEM06W03a,5/29/2014,5/29/2014,1,131,129,1,0,Construct,Code 03.,"Lift ""W03"" will be separated into ""W03a"" and ""W03b"". All quantities will be assigned to ""W03a"".",Code 03a.,P-P-S-2803-0002,,,
P,ME,M06,W03b,PMEM06W03b,PMEM06W03b,5/29/2014,5/29/2014,1,0,0,0,13,Construct,Code 03.,"Lift ""W03"" will be separated into ""W03a"" and ""W03b"". All quantities will be assigned to ""W03a"".",Code 03a.,P-P-S-2803-0002,,,
P,ME,M06,W02,PMEM06W02,PMEM06W02,6/11/2014,6/11/2014,1,120,106,1,153,Construct,,,,,,,
P,ME,M06,W01,PMEM06W01,PMEM06W01,11/11/2014,11/11/2014,1,42,39,1,-403,Construct,,,,,,,
P,ME,M07,F02,PMEM07F02,PMEM07F02,10/4/2013,10/5/2013,2,1089,1089,2,16,Construct,,,,,,,
