Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,,,Revision Process,,,RFC number,
P,H1C,4C,F02,PH1C4CF02,PH1C4CF02,12/05/2012,12/06/2012,2,317,280,2,4,Construct,,,Code 04.,"Lift ""F02 2nd Stage 4C&5C"" will be separated in ""F02"" for the monolith 4C and ""F02"" for the monolith 5C. All quantities will be assigned to F02, monolith 4C.",Code 04a.,"P-P-S-0085-0001, P-P-S-0085-0004",
P,H1C,4C,F01,PH1C4CF01,PH1C4CF01,12/10/2012,12/11/2012,2,243,224,2,-235,Construct,,,Code 04.,"Lift ""F01 2nd Stage 4C&5C"" will be separated in ""F01"" for the monolith 4C and ""F01"" for the monolith 5C. All quantities will be assigned to F01, monolith 4C.",Code 04a.,"P-P-S-0085-0001, P-P-S-0085-0004",
P,H1E,3A,F07,PH1E3AF07,PH1E3AF07,04/20/2012,04/21/2012,2,982,885,2,17,Construct,,,,,,,
P,H1E,3A,F06,PH1E3AF06,PH1E3AF06,05/08/2012,05/08/2012,1,905,1046,1,23,Construct,,,,,,,
P,H1E,3A,F05a,PH1E3AF05a,PH1E3AF05a,05/31/2012,05/31/2012,1,364,315,1,7,Construct,,,,,,,
P,H1E,3A,F05b,PH1E3AF05b,PH1E3AF05b,06/07/2012,06/07/2012,1,368,291,1,14,Construct,,,,,,,
P,H1E,3A,F05c,PH1E3AF05c,PH1E3AF05c,06/21/2012,06/22/2012,2,456,371,2,-8,Construct,,,,,,,
P,H1E,3A,F04a,PH1E3AF04a,PH1E3AF04a,06/14/2012,06/23/2012,10,368,324,2,6,Construct,,,,,,,
P,H1E,3A,F04b,PH1E3AF04b,PH1E3AF04b,06/29/2012,07/09/2012,11,384,305,3,4,Construct,,,,,,,
P,H1E,3A,F04c,PH1E3AF04c,PH1E3AF04c,07/13/2012,07/14/2012,2,406,385,2,37,Construct,,,,,,,
P,H1E,3A,F03,PH1E3AF03,PH1E3AF03,08/20/2012,09/01/2012,13,1878,1850,4,19,Construct,,,,,,,
P,H1E,3A,F02,PH1E3AF02,PH1E3AF02,09/20/2012,09/03/2013,349,724,909,3,-335,Construct,,,,,,,
P,H1E,3A,F01,PH1E3AF01,PH1E3AF01,10/03/2012,10/03/2012,1,718,697,1,14,Construct,,,,,,,
P,H1E,3A,W10,PH1E3AW10,PH1E3AW10,10/17/2012,10/18/2012,2,1254,1235,2,19,Construct,,,,,,,
P,H1E,3A,W09,PH1E3AW09,PH1E3AW09,11/06/2012,11/07/2012,2,530,494,2,20,Construct,,,,,,,
P,H1E,3A,W08,PH1E3AW08,PH1E3AW08,11/27/2012,11/27/2012,1,552,550,1,15,Construct,,,,,,,
P,H1E,3A,W07a,PH1E3AW07a,PH1E3AW07a,12/12/2012,12/12/2012,1,602,615,1,34,Construct,,,Code 05.,"Lift ""W07"" will be renamed as ""W07a"".",Code 05a.,P-P-S-0062-0006,
P,H1E,3A,W07b,PH1E3AW07b,PH1E3AW07b,12/13/2012,12/13/2012,1,0,0,0,69,Construct,,,Code 01.,"A new row was created under the name of ""W07b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-0062-0006,
P,H1E,3A,W06,PH1E3AW06,PH1E3AW06,01/15/2013,01/16/2013,2,568,568,2,35,Construct,,,,,,,
P,H1E,3A,W05,PH1E3AW05,PH1E3AW05,02/20/2013,02/21/2013,2,584,632,2,39,Construct,,,,,,,
P,H1E,3A,W04,PH1E3AW04,PH1E3AW04,04/01/2013,04/02/2013,2,476,451,2,37,Construct,,,,,,,
P,H1E,3A,W03,PH1E3AW03,PH1E3AW03,05/09/2013,10/08/2013,153,380,388,3,-69,Construct,,,,,,,
P,H1E,3A,W02,PH1E3AW02,PH1E3AW02,07/23/2013,05/15/2014,297,312,279,2,-288,Construct,,,,,,,
P,H1E,3A,W02a,PH1E3AW02a,PH1E3AW02a,07/31/2013,07/31/2013,1,32,52,1,7,Construct,,,Code 02.,"Joining lifts ""W02 (1st stage)"" and ""W02(Upper Rail 2nd Stage)"" under the name of ""W02a"".",Code 02a.,P-P-S-0063-0005,
P,H1E,3A,W01,PH1E3AW01,PH1E3AW01,08/07/2013,06/18/2014,316,195,175,1,-835,Construct,,,,,,,
P,H1E,3B,F07,PH1E3BF07,PH1E3BF07,03/05/2012,03/06/2012,2,700,656,2,25,Construct,,,,,,,
P,H1E,3B,F06,PH1E3BF06,PH1E3BF06,03/31/2012,06/13/2012,75,618,618,3,24,Construct,,,Code 02.,"Joining ""F06 a"" and ""F06"" under ""F06"".",Code 02a.,P-P-S-0060-0002,
P,H1E,3B,F05a,PH1E3BF05a,PH1E3BF05a,07/07/2012,07/08/2012,2,952,918,1,-1,Construct,,,Code 03.,"F05 will be divided into ""F05 a"", ""F05 b"" and ""F05 c"". All quantities are assigned to ""F05 a"".",Code 03a.,P-P-S-0060-0002,
