Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
P,H2W,6C,W12b,PH2W6CW12b,PH2W6CW12b,08/15/2012,08/16/2012,2,0,0,2,-1,Construct,Code 03.,"W12 will be divided in W12a, W12b and W12c.  All quantities are assigned to W12a.",Code 03a.,P-P-S-0507-0001,
P,H2W,6C,W12c,PH2W6CW12c,PH2W6CW12c,08/15/2012,08/16/2012,2,0,0,2,75,Construct,Code 03.,"W12 will be divided in W12a, W12b and W12c.  All quantities are assigned to W12a.",Code 03a.,P-P-S-0507-0001,
P,H2W,6C,W11a,PH2W6CW11a,PH2W6CW11a,10/30/2012,10/31/2012,2,510,503,2,-8,Construct,,,,,
P,H2W,6C,W11b,PH2W6CW11b,PH2W6CW11b,10/23/2012,10/24/2012,2,304,291,2,64,Construct,,,,,
P,H2W,6C,W10,PH2W6CW10,PH2W6CW10,12/27/2012,01/10/2013,15,1097,1057,1,86,Construct,Code 02.,Joining W10a and W10b.    All quantities ara assigned to W10.,Code 02a.,P-P-S-0507-0001,
P,H2W,6C,W09a,PH2W6CW09a,PH2W6CW09a,04/06/2013,04/06/2013,1,481,460,1,-57,Construct,,,,,
P,H2W,6C,W09b,PH2W6CW09b,PH2W6CW09b,02/08/2013,02/09/2013,2,56,58,2,-1,Construct,,,,,
P,H2W,6C,W09c,PH2W6CW09c,PH2W6CW09c,02/08/2013,02/09/2013,2,56,58,2,81,Construct,,,,,
P,H2W,6C,W08a,PH2W6CW08a,PH2W6CW08a,05/01/2013,05/02/2013,2,505,490,1,-69,Construct,,,,,
P,H2W,6C,W08b,PH2W6CW08b,PH2W6CW08b,02/22/2013,02/22/2013,1,58,58,2,0,Construct,,,,,
P,H2W,6C,W08c,PH2W6CW08c,PH2W6CW08c,02/22/2013,02/22/2013,1,58,58,2,116,Construct,,,,,
P,H2W,6C,W07,PH2W6CW07,PH2W6CW07,06/18/2013,06/19/2013,2,1054,1064,2,17,Construct,,,,,
P,H2W,6C,W06,PH2W6CW06,PH2W6CW06,07/06/2013,07/06/2013,1,1082,1064,1,12,Construct,,,,,
P,H2W,6C,W05,PH2W6CW05,PH2W6CW05,07/18/2013,07/19/2013,2,1016,1071,2,12,Construct,,,,,
P,H2W,6C,W04,PH2W6CW04,PH2W6CW04,07/31/2013,08/01/2013,2,1064,1090,2,15,Construct,,,,,
P,H2W,6C,W03,PH2W6CW03,PH2W6CW03,08/16/2013,08/17/2013,2,1112,1060,2,326,Construct,,,,,
P,H2W,6C,W02,PH2W6CW02,PH2W6CW02,07/09/2014,07/09/2014,1,477,477,1,15,Construct,,,,,
P,H2W,6C,W01,PH2W6CW01,PH2W6CW01,07/24/2014,07/24/2014,1,454,518,2,-1001,Construct,,,,,
P,H2W,6D,F06,PH2W6DF06,PH2W6DF06,10/27/2011,10/27/2011,1,240,123,1,13,Construct,,,,,
P,H2W,6D,F05,PH2W6DF05,PH2W6DF05,11/09/2011,11/09/2011,1,703,681,1,12,Construct,Code 04.,"Lift ""6D&6E F05"" will be separated into ""6D F05"" and ""6E F05"".  All quantities will be assigned to ""6D F05"".",Code 04.,P-P-S-0520-0001,
P,H2W,6D,F04,PH2W6DF04,PH2W6DF04,11/21/2011,11/22/2011,2,697,692,2,49,Construct,Code 04.,"Lift ""6D&6E F04"" will be separated into ""6D F04"" and ""6E F04"".  All quantities will be assigned to ""6D F04"".",Code 04.,P-P-S-0520-0001,
P,H2W,6D,F03,PH2W6DF03,PH2W6DF03,01/10/2012,02/02/2012,24,1088.02,1025,3,102,Construct,,,,,
P,H2W,6D,F02,PH2W6DF02,PH2W6DF02,05/14/2012,05/15/2012,2,652,635,2,10,Construct,,,,,
P,H2W,6D,F01,PH2W6DF01,PH2W6DF01,05/25/2012,05/26/2012,2,168,165,2,33,Construct,,,,,
P,H2W,6D,W13a,PH2W6DW13a,PH2W6DW13a,06/28/2012,06/28/2012,1,203,187,1,12,Construct,,,,,
P,H2W,6D,W13b,PH2W6DW13b,PH2W6DW13b,07/10/2012,07/11/2012,2,403,375,2,-7,Construct,,,,,
P,H2W,6D,W13c,PH2W6DW13c,PH2W6DW13c,07/04/2012,07/04/2012,1,180,183,1,9,Construct,,,,,
P,H2W,6D,W12a,PH2W6DW12a,PH2W6DW12a,07/13/2012,07/13/2012,1,167,170,1,13,Construct,,,,,
P,H2W,6D,W12b,PH2W6DW12b,PH2W6DW12b,07/26/2012,07/27/2012,2,417,410,2,-6,Construct,,,,,
P,H2W,6D,W12c,PH2W6DW12c,PH2W6DW12c,07/21/2012,07/21/2012,1,166,165,1,44,Construct,,,,,
P,H2W,6D,W11a,PH2W6DW11a,PH2W6DW11a,09/03/2012,09/04/2012,2,508,530,2,-5,Construct,,,,,
P,H2W,6D,W11b,PH2W6DW11b,PH2W6DW11b,08/30/2012,08/31/2012,2,284,310,2,11,Construct,,,,,
P,H2W,6D,W10,PH2W6DW10,PH2W6DW10,09/11/2012,09/20/2012,10,1093,1135,2,29,Construct,,,,,
P,H2W,6D,W09a,PH2W6DW09a,PH2W6DW09a,10/19/2012,10/19/2012,1,0,0,0,0,Construct,Code 04.,"Lift ""6B&6D W09a"" will be separated into ""6B W09a"" and ""6D W09a"".  All quantities will be assigned to ""6B W09a"".",Code 04.,P-P-S-0522-0001,
P,H2W,6D,W09b,PH2W6DW09b,PH2W6DW09b,10/19/2012,10/19/2012,1,152,145,1,-14,Construct,,,,,
P,H2W,6D,W08a,PH2W6DW08a,PH2W6DW08a,10/05/2012,10/06/2012,2,124,110,2,25,Construct,,,,,
P,H2W,6D,W08b,PH2W6DW08b,PH2W6DW08b,10/31/2012,11/01/2012,2,152,145,2,40,Construct,,,,,
P,H2W,6D,W07,PH2W6DW07,PH2W6DW07,12/11/2012,12/17/2012,7,465,480,2,39,Construct,Code 02.,"Joining ""W071stStage"" and ""W072ndStage"" under the name of W07.",Code 02a.,P-P-S-0522-0001,
P,H2W,6D,W06,PH2W6DW06,PH2W6DW06,01/25/2013,01/25/2013,1,496,480,1,15,Construct,,,,,
P,H2W,6D,W05,PH2W6DW05,PH2W6DW05,02/09/2013,02/09/2013,1,428,481,1,11,Construct,,,,,
P,H2W,6D,W04,PH2W6DW04,PH2W6DW04,02/20/2013,02/21/2013,2,509,476,2,11,Construct,,,,,
P,H2W,6D,W03,PH2W6DW03,PH2W6DW03,03/04/2013,03/04/2013,1,464,478,1,486,Construct,,,,,
P,H2W,6D,W02,PH2W6DW02,PH2W6DW02,07/03/2014,07/03/2014,1,204,200,1,19,Construct,,,,,
P,H2W,6D,W01,PH2W6DW01,PH2W6DW01,07/22/2014,07/22/2014,1,203,244,1,-999,Construct,,,,,
P,H2W,6E,F06,PH2W6EF06,PH2W6EF06,10/27/2011,10/27/2011,1,128,210,1,13,Construct,,,,,
P,H2W,6E,F05,PH2W6EF05,PH2W6EF05,11/09/2011,11/09/2011,1,0,0,0,12,Construct,Code 04.,"Lift ""6D&6E F05"" will be separated into ""6D F05"" and ""6E F05"".  All quantities will be assigned to ""6D F05"".",Code 04.,P-P-S-0535-0001,
P,H2W,6E,F04,PH2W6EF04,PH2W6EF04,11/21/2011,11/22/2011,2,0,0,0,9,Construct,Code 04.,"Lift ""6D&6E F04"" will be separated into ""6D F04"" and ""6E F04"".  All quantities will be assigned to ""6D F04"".",Code 04.,P-P-S-0535-0001,
P,H2W,6E,F03,PH2W6EF03,PH2W6EF03,12/01/2011,12/05/2011,5,496,483,2,14,Construct,,,,,
P,H2W,6E,F02,PH2W6EF02,PH2W6EF02,12/19/2011,12/19/2011,1,384,365,1,17,Construct,,,,,
P,H2W,6E,F01,PH2W6EF01,PH2W6EF01,01/05/2012,01/10/2012,6,120,120,2,-4,Construct,,,,,
P,H2W,6E,W13a,PH2W6EW13a,PH2W6EW13a,01/06/2012,01/06/2012,1,0,0,0,18,Construct,Code 01.,"A new lift was created under the name of ""W13a"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-0536-0001,
P,H2W,6E,W13b,PH2W6EW13b,PH2W6EW13b,01/24/2012,01/25/2012,2,389,53,2,-20,Construct,,,,,
P,H2W,6E,W13c,PH2W6EW13c,PH2W6EW13c,01/05/2012,01/10/2012,6,58,365,2,18,Construct,,,,,
P,H2W,6E,W12a,PH2W6EW12a,PH2W6EW12a,01/28/2012,01/28/2012,1,130,117,1,-5,Construct,,,,,
P,H2W,6E,W12b,PH2W6EW12b,PH2W6EW12b,01/23/2012,01/23/2012,1,316,307,1,10,Construct,,,,,
P,H2W,6E,W12c,PH2W6EW12c,PH2W6EW12c,02/02/2012,02/02/2012,1,56,52,1,43,Construct,,,,,
P,H2W,6E,W11a,PH2W6EW11a,PH2W6EW11a,03/16/2012,03/17/2012,2,272,269,1,-1,Construct,,,,,
P,H2W,6E,W11b,PH2W6EW11b,PH2W6EW11b,03/16/2012,03/17/2012,2,272,269,1,14,Construct,,,,,
P,H2W,6E,W10,PH2W6EW10,PH2W6EW10,03/31/2012,04/11/2012,12,769,728,3,17,Construct,Code 02.,Joining W10a and W10b under the name of W10.,Code 02a.,P-P-S-0536-0001,
P,H2W,6E,W09a,PH2W6EW09a,PH2W6EW09a,04/28/2012,04/28/2012,1,176,177,1,0,Construct,Code 03.,"Lift ""W09"" will be separated into ""W09a"" and ""W09b"".    All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0537-0001,
P,H2W,6E,W09b,PH2W6EW09b,PH2W6EW09b,04/28/2012,04/28/2012,1,0,0,0,16,Construct,Code 03.,"Lift ""W09"" will be separated into ""W09a"" and ""W09b"".    All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0537-0001,
P,H2W,6E,W08a,PH2W6EW08a,PH2W6EW08a,05/14/2012,05/14/2012,1,184,177,1,0,Construct,Code 03.,"Lift ""W08"" will be separated into ""W08a"" and ""W08b"".    All quantities will be assigned to ""W08a"".",Code 03a.,P-P-S-0537-0001,
P,H2W,6E,W08b,PH2W6EW08b,PH2W6EW08b,05/14/2012,05/14/2012,1,0,0,0,21,Construct,Code 03.,"Lift ""W08"" will be separated into ""W08a"" and ""W08b"".    All quantities will be assigned to ""W08a"".",Code 03a.,P-P-S-0537-0001,
P,H2W,6E,W07,PH2W6EW07,PH2W6EW07,06/04/2012,06/12/2012,9,384,372,2,14,Construct,,,,,
P,H2W,6E,W06,PH2W6EW06,PH2W6EW06,06/26/2012,07/02/2012,7,382,372,2,11,Construct,Code 05.,"Lift ""W06b"" will be renamed as ""W06"".",Code 02a.,P-P-S-0537-0001,
P,H2W,6E,W05,PH2W6EW05,PH2W6EW05,07/13/2012,07/13/2012,1,83,80,1,26,Construct,,,,,
P,H2W,6E,W04,PH2W6EW04,PH2W6EW04,08/08/2012,08/08/2012,1,18,18,1,-53,Construct,,,,,
P,H2C,5A,F03,PH2C5AF03,PH2C5AF03,06/16/2012,06/23/2012,8,712,710,3,11,Construct,Code 02.,Joining F03 and F03b under the name of F03.,Code 02a.,P-P-S-0460-0001,
P,H2C,5A,F02,PH2C5AF02,PH2C5AF02,07/04/2012,02/26/2013,238,227,230,4,-223,Construct,,,,,
P,H2C,5A,F01,PH2C5AF01,PH2C5AF01,07/18/2012,07/18/2012,1,138,137,1,118,Construct,,,,,
P,H2C,5B,F03,PH2C5BF03,PH2C5BF03,11/13/2012,11/14/2012,2,1194,1199,2,16,Construct,,,,,
P,H2C,5B,F02,PH2C5BF02,PH2C5BF02,11/30/2012,12/01/2012,2,472,455,2,6,Construct,,,,,
P,H2C,5B,F01,PH2C5BF01,PH2C5BF01,12/07/2012,12/07/2012,1,488,533,1,14,Construct,,,,,
P,H2C,5C,F06,PH2C5CF06,PH2C5CF06,12/21/2012,12/22/2012,2,248,238,2,6,Construct,,,,,
P,H2C,5C,F05,PH2C5CF05,PH2C5CF05,12/28/2012,12/29/2012,2,521.56,435,2,12,Construct,,,,,
P,H2C,5C,F04,PH2C5CF04,PH2C5CF04,01/10/2013,01/10/2013,1,512,517,1,7,Construct,,,,,
