Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duation in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,T5,C306,R01,PT5C306R01,PT5C306R01,03/05/2015,03/05/2015,1,208,187,1,-73,Construct,,,,
P,T5,C307,F01,PT5C307F01,PT5C307F01,12/22/2014,12/22/2014,1,244,244,1,24,Construct,,,,
P,T5,C307,W02a,PT5C307W02a,PT5C307W02a,01/15/2015,01/15/2015,1,66,65,1,16,Construct,,,,
P,T5,C307,W02b,PT5C307W02b,PT5C307W02b,01/31/2015,01/31/2015,1,50,65,1,0,Construct,Code 05.,"Lift ""W02B"" will be renamed as ""W02b"".",Code 05a.,P-P-S-6850-0004
P,T5,C307,W01a,PT5C307W01a,PT5C307W01a,01/31/2015,01/31/2015,1,71,62,1,9,Construct,Code 05.,"Lift ""W01A"" will be renamed as ""W01a"".",Code 05a.,P-P-S-6850-0003
P,T5,C207,W06,PT5C207W06,PT5C207W06,02/09/2015,02/10/2015,2,40,24,2,-1,Construct,Code 05.,"Lift ""C3-07 W06"" will be renamed as ""C2-07 W06"".",Code 05a.,P-P-S-6850-0009
P,T5,C307,W01b,PT5C307W01b,PT5C307W01b,02/09/2015,02/09/2015,1,64,62,1,31,Construct,,,,
P,T5,C307,R02,PT5C307R02,PT5C307R02,03/12/2015,03/12/2015,1,101,107,1,5,Construct,,,,
P,T5,C307,R01,PT5C307R01,PT5C307R01,03/17/2015,03/17/2015,1,155,178,1,-162,Construct,,,,
P,T5,C308,W02a,PT5C308W02a,PT5C308W02a,10/06/2014,01/07/2015,94,208,176,2,-23,Construct,Code 02.,"Joining lifts ""W02A"" and ""W02a"" under the name of ""W02a"".",Code 05a.,P-P-S-6850-0003
P,T5,C308,F01,PT5C308F01,PT5C308F01,12/15/2014,12/16/2014,2,449,394,2,28,Construct,,,,
P,T5,C308,W02b,PT5C308W02b,PT5C308W02b,01/13/2015,01/13/2015,1,116,120,1,7,Construct,,,,
P,T5,C308,W01a,PT5C308W01a,PT5C308W01a,01/20/2015,01/20/2015,1,146,117,1,8,Construct,,,,
P,T5,C308,W01b,PT5C308W01b,PT5C308W01b,01/28/2015,01/28/2015,1,100,127,1,57,Construct,,,,
P,T5,C308,R02,PT5C308R02,PT5C308R02,03/26/2015,03/27/2015,2,180,137,2,6,Construct,,,,
P,T5,C308,R01,PT5C308R01,PT5C308R01,04/02/2015,04/02/2015,1,256,230,1,-141,Construct,,,,
P,T5,C310,F01,PT5C310F01,PT5C310F01,11/12/2014,11/13/2014,2,0,0,0,-1,Construct,Code 04.,"Lift ""C3-09+10 F01"" will be separated into ""C3-09-F01"" and ""C3-10-F01"".  All quantities will be assigned to ""C3-09-F01"".",Code 04a.,P-P-S-6850-0003
P,T5,C309,F01,PT5C309F01,PT5C309F01,11/12/2014,11/13/2014,2,590,640,2,8,Construct,Code 04.,"Lift ""C3-09+10 F01"" will be separated into ""C3-09-F01"" and ""C3-10-F01"".  All quantities will be assigned to ""C3-09-F01"".",Code 04a.,P-P-S-6850-0004
P,T5,C309,W02a,PT5C309W02a,PT5C309W02a,11/21/2014,11/22/2014,2,151,150,2,6,Construct,Code 04.,"Lift ""C3-09+10 W02a"" will be separated into ""C3-09-W02a"" and ""C3-10-W02a"".  All quantities will be assigned to ""C3-09-W02a"".",Code 04a.,P-P-S-6850-0003
P,T5,C309,W02b,PT5C309W02b,PT5C309W02b,11/28/2014,11/28/2014,1,162,150,1,21,Construct,Code 04.,"Lift ""C3-09+10 W02b"" will be separated into ""C3-09-W02b"" and ""C3-10-W02b"".  All quantities will be assigned to ""C3-09-W02b"".",Code 04a.,P-P-S-6850-0004
P,T5,C309,P03,PT5C309P03,PT5C309P03,12/19/2014,12/20/2014,2,74,79,2,-1,Construct,Code 03.,"Lift ""C3-09+10 P04+03"" will be separated into ""P03"" and ""P04"". All quantities will be assigned to ""P03"".",Code 03a.,P-P-S-6850-0004
P,T5,C309,P04,PT5C309P04,PT5C309P04,12/19/2014,12/20/2014,2,0,0,0,16,Construct,Code 03.,"Lift ""C3-09+10 P04+03"" will be separated into ""P03"" and ""P04"". All quantities will be assigned to ""P03"".",Code 03a.,P-P-S-6850-0004
P,T5,C309,W01b,PT5C309W01b,PT5C309W01b,01/05/2015,01/05/2015,1,149,143,1,7,Construct,Code 03.,"Lift ""C3-09+10 W01b"" will be separated into """"C3-09 W01b"" and ""C3-10 W01b"". All quantities will be assigned to ""C3-09 W01b"".",Code 03a.,P-P-S-6850-0004
P,T5,C309,P01,PT5C309P01,PT5C309P01,01/12/2015,01/12/2015,1,55,56,1,0,Construct,Code 03.,"Lift ""C3-09+10 P01+02"" will be separated into ""C3-09 P01"", ""C3-09 P02"", ""C3-10 P01"" and ""C3-10 P02"". All quantities will be assigned to ""C3-09 P01"".",Code 03a.,P-P-S-6850-0004
P,T5,C309,P02,PT5C309P02,PT5C309P02,01/12/2015,01/12/2015,1,0,0,0,1,Construct,Code 03.,"Lift ""C3-09+10 P01+02"" will be separated into ""C3-09 P01"", ""C3-09 P02"", ""C3-10 P01"" and ""C3-10 P02"". All quantities will be assigned to ""C3-09 P01"".",Code 03a.,P-P-S-6850-0004
P,T5,C309,W01a,PT5C309W01a,PT5C309W01a,01/13/2015,01/13/2015,1,144,125,1,-53,Construct,Code 03.,"Lift ""C3-09+10 W01a"" will be separated into ""C3-09 W01a"" and ""C3-10 W01a"". All quantities will be assigned to ""C3-09 W01a"".",Code 03a.,P-P-S-6850-0003
P,T5,C310,W02a,PT5C310W02a,PT5C310W02a,11/21/2014,11/22/2014,2,0,0,0,6,Construct,Code 04.,"Lift ""C3-09+10 W02a"" will be separated into ""C3-09-W02a"" and ""C3-10-W02a"".  All quantities will be assigned to ""C3-09-W02a"".",Code 04a.,P-P-S-6850-0003
P,T5,C310,W02b,PT5C310W02b,PT5C310W02b,11/28/2014,11/28/2014,1,0,0,1,21,Construct,Code 04.,"Lift ""C3-09+10 W02b"" will be separated into ""C3-09-W02b"" and ""C3-10-W02b"".  All quantities will be assigned to ""C3-09-W02b"".",Code 04a.,P-P-S-6850-0004
P,T5,C310,P03,PT5C310P03,PT5C310P03,12/19/2014,12/20/2014,2,0,0,2,-1,Construct,Code 03.,"Lift ""C3-09+10 P01+02"" will be separated into ""P01"" and ""P02"". All quantities will be assigned to ""P01"".",Code 03a.,P-P-S-6850-0004
P,T5,C310,P04,PT5C310P04,PT5C310P04,12/19/2014,12/20/2014,2,0,0,0,16,Construct,Code 03.,"Lift ""C3-09+10 P01+02"" will be separated into ""P01"" and ""P02"". All quantities will be assigned to ""P01"".",Code 03a.,P-P-S-6850-0004
P,T5,C310,W01b,PT5C310W01b,PT5C310W01b,01/05/2015,01/05/2015,1,0,0,0,7,Construct,Code 03.,"Lift ""C3-09+10 W01b"" will be separated into """"C3-09 W01b"" and ""C3-10 W01b"". All quantities will be assigned to ""C3-09 W01b"".",Code 03a.,P-P-S-6850-0004
P,T5,C310,P01,PT5C310P01,PT5C310P01,01/12/2015,01/12/2015,1,0,0,0,0,Construct,Code 03.,"Lift ""C3-09+10 P01+02"" will be separated into ""C3-09 P01"", ""C3-09 P02"", ""C3-10 P01"" and ""C3-10 P02"". All quantities will be assigned to ""C3-09 P01"".",Code 03a.,P-P-S-6850-0004
P,T5,C310,P02,PT5C310P02,PT5C310P02,01/12/2015,01/12/2015,1,0,0,0,1,Construct,Code 03.,"Lift ""C3-09+10 P01+02"" will be separated into ""C3-09 P01"", ""C3-09 P02"", ""C3-10 P01"" and ""C3-10 P02"". All quantities will be assigned to ""C3-09 P01"".",Code 03a.,P-P-S-6850-0004
P,T5,C310,W01a,PT5C310W01a,PT5C310W01a,01/13/2015,01/13/2015,1,0,0,0,41,Construct,Code 03.,"Lift ""C3-09+10 W01a"" will be separated into ""C3-09 W01a"" and ""C3-10 W01a"". All quantities will be assigned to ""C3-09 W01a"".",Code 03a.,P-P-S-6850-0003
P,T5,C310,R03a,PT5C310R03a,PT5C310R03a,02/23/2015,02/23/2015,1,0,0,0,0,Construct,Code 04.,"Lift ""C3-09+10 R05"" will be separated into ""C3-10-R05"", ""C3-09 R03"", ""C3-10 R03b""and ""C3-10-R03c"".  All quantities will be assigned to ""C3-10-R05"".",Code 04a.,P-P-S-6850-0005
P,T5,C310,R03b,PT5C310R03b,PT5C310R03b,02/23/2015,02/23/2015,1,0,0,0,0,Construct,Code 04.,"Lift ""C3-09+10 R05"" will be separated into ""C3-09-R03"", ""C3-10 R03b""and ""C3-10-R03c"".  All quantities will be assigned to ""C3-09-R03"".",Code 04a.,P-P-S-6850-0005
P,T5,C310,R03c,PT5C310R03c,PT5C310R03c,02/23/2015,02/23/2015,1,0,0,0,0,Construct,Code 01.,Lift R03c was created to match RFC,Code 01a.,P-P-S-6850-0005
P,T5,C309,R03,PT5C309R03,PT5C309R03,02/23/2015,02/23/2015,1,0,0,0,0,Construct,Code 04.,"Lift ""C3-09+10 R05"" will be separated into ""C3-09-R03"", ""C3-10 R03b""and ""C3-10-R03c"".  All quantities will be assigned to ""C3-09-R03"".",Code 04a.,P-P-S-6850-0003
P,T5,C310,R05,PT5C310R05,PT5C310R05,02/23/2015,02/23/2015,1,152,168,1,7,Construct,Code 04.,"Lift ""C3-09+10 R05"" will be separated into ""C3-10-R05"", ""C3-09 R03"", ""C3-10 R03b""and ""C3-10-R03c"".  All quantities will be assigned to ""C3-10-R05"".",Code 04a.,P-P-S-6850-0004
P,T5,C309,R01,PT5C309R01,PT5C309R01,03/02/2015,03/02/2015,1,260,272,1,0,Construct,Code 03.,"Lift ""09R02+R01"" will be separated into ""09R02"" and ""09R01"". All quantities will be assigned to ""09R01"".",Code 03a.,P-P-S-6850-0003
P,T5,C309,R02,PT5C309R02,PT5C309R02,03/02/2015,03/02/2015,1,0,0,0,11,Construct,Code 03.,"Lift ""09R02+R01"" will be separated into ""09R02"" and ""09R01"". All quantities will be assigned to ""09R01"".",Code 03a.,P-P-S-6850-0003
P,T5,C310,R03a,PT5C310R03a,PT5C310R03a,03/13/2015,03/13/2015,1,275,250,1,0,Construct,Code 05.,"Lift ""C3-10 R04+R03"" will be renamed as ""C3-10 R03a"".",Code 05a.,P-P-S-6850-0005
P,T5,C310,R04,PT5C310R04,PT5C310R04,03/13/2015,03/13/2015,1,0,0,0,6,Construct,Code 03.,"Lift ""R04+R03"" will be separated into ""10R03"" and ""10R04"". All quantities will be assigned to ""10R03"".",Code 03a.,P-P-S-6850-0004
P,T5,C310,R01,PT5C310R01,PT5C310R01,03/19/2015,03/19/2015,1,296,305,1,0,Construct,Code 03.,"Lift ""R01+R02"" will be separated into ""10R01"" and ""10R02"". All quantities will be assigned to ""10R01"".",Code 03a.,P-P-S-6850-0004
P,T5,C310,R02,PT5C310R02,PT5C310R02,03/19/2015,03/19/2015,1,0,0,0,-71,Construct,Code 03.,"Lift ""R01+R02"" will be separated into ""10R01"" and ""10R02"". All quantities will be assigned to ""10R01"".",Code 03a.,P-P-S-6850-0004
P,T5,C311,F01a,PT5C311F01a,PT5C311F01a,01/07/2015,01/07/2015,1,184,178,1,7,Construct,,,,
