Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duation in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,VS5,,C02a5,PVS5C02a5,PVS5C02a5,10/29/2013,10/30/2013,2,177,181,2,-1,Construct,Code 03.,"Lift ""C02a&b5"" will be separated into ""C02a5"" and ""C02b5"". All quantities will be assigned to ""C02a5"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02b5,PVS5C02b5,PVS5C02b5,10/29/2013,10/30/2013,2,0,0,0,9,Construct,Code 03.,"Lift ""C02a&b5"" will be separated into ""C02a5"" and ""C02b5"". All quantities will be assigned to ""C02a5"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02a7,PVS5C02a7,PVS5C02a7,11/08/2013,11/08/2013,1,105,109,1,0,Construct,Code 03.,"Lift ""C02a&b7"" will be separated into ""C02a7"" and ""C02b7"". All quantities will be assigned to ""C02a7"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02b7,PVS5C02b7,PVS5C02b7,11/08/2013,11/08/2013,1,0,0,0,8,Construct,Code 03.,"Lift ""C02a&b7"" will be separated into ""C02a7"" and ""C02b7"". All quantities will be assigned to ""C02a7"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02a6,PVS5C02a6,PVS5C02a6,11/16/2013,11/16/2013,1,121,122,1,0,Construct,Code 03.,"Lift ""C02a&b6"" will be separated into ""C02a6"" and ""C02b6"". All quantities will be assigned to ""C02a6"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02b6,PVS5C02b6,PVS5C02b6,11/16/2013,11/16/2013,1,0,0,0,7,Construct,Code 03.,"Lift ""C02a&b6"" will be separated into ""C02a6"" and ""C02b6"". All quantities will be assigned to ""C02a6"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02a4,PVS5C02a4,PVS5C02a4,11/23/2013,11/23/2013,1,121,126,1,0,Construct,Code 03.,"Lift ""C02a&b4"" will be separated into ""C02a4"" and ""C02b4"". All quantities will be assigned to ""C02a4"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02b4,PVS5C02b4,PVS5C02b4,11/23/2013,11/23/2013,1,0,0,0,-11,Construct,Code 03.,"Lift ""C02a&b4"" will be separated into ""C02a4"" and ""C02b4"". All quantities will be assigned to ""C02a4"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C01a,PVS5C01a,PVS5C01a,11/12/2013,11/13/2013,2,204,217,2,6,Construct,Code 05.,"Lift ""C01a&b1"" will be renamed as ""C01a"".",Code 05a.,P-P-S-6740-0003
P,VS5,,C01b1,PVS5C01b1,PVS5C01b1,11/19/2013,11/20/2013,2,341,329,2,21,Construct,Code 05.,"Lift ""C01a&b1 (1st stage)"" will be renamed as C01b1"".",Code 05a.,P-P-S-6740-0003
P,VS5,,C01b3,PVS5C01b3,PVS5C01b3,12/11/2013,12/18/2013,8,510,569,3,153,Construct,Code 03.,"Lift ""C01a&b3"" will be renamed as ""C01b3""",Code 03a.,P-P-S-6740-0003
P,VS5,,C01b2,PVS5C01b2,PVS5C01b2,05/20/2014,05/24/2014,5,538,499,2,76,Construct,Code 03.,"Lift ""C01A2&B2"" will be renamed as ""C01b2""",Code 03a.,P-P-S-6740-0003
P,VS5,,W01,PVS5W01,PVS5W01,08/08/2014,09/25/2014,49,455,375,5,-169,Construct,Code 02.,"Lifts ""W01A1"", ""W01A2"" and ""W01A3"" will be joined under the name of ""W01"".",Code 02a.,P-P-S-6741-0002
P,VS5,,W02,PVS5W02,PVS5W02,04/09/2014,07/28/2014,111,898,865,3,-119,Construct,Code 02.,"Lifts ""W02A1"", ""W02A2"" and ""W02A3"" will be joined under the name of ""W02"".",Code 02a.,P-P-S-6741-0002
P,VS5,,W03,PVS5W03,PVS5W03,03/31/2014,07/17/2014,109,1017,945,3,-122,Construct,Code 02.,"Lifts ""W03A1"", ""W03A2"" and ""W03A3"" will be joined under the name of ""W03"".",Code 02a.,P-P-S-6741-0002
P,VS5,,W04,PVS5W04,PVS5W04,03/17/2014,07/09/2014,115,980,945,3,-168,Construct,Code 02.,"Lifts ""W04A1"", ""W04A2"" and ""W04A3"" will be joined under the name of ""W04"".",Code 02a.,P-P-S-6741-0002
P,VS5,,W05,PVS5W05,PVS5W05,01/22/2014,06/26/2014,156,997,945,4,-192,Construct,Code 02.,"Lifts ""W05A1"", ""W05A2"" and ""W05A3"" will be joined under the name of ""W05"".",Code 02a.,P-P-S-6741-0002
P,VS5,,W06,PVS5W06,PVS5W06,12/16/2013,06/17/2014,184,986,938,4,-199,Construct,Code 02.,"Lifts ""W06A1"", ""W06A2"" and ""W06A3"" will be joined under the name of ""W06"".",Code 02a.,P-P-S-6741-0002
P,VS5,,W07,PVS5W07,PVS5W07,11/30/2013,06/05/2014,188,922,938,3,,Construct,Code 02.,"Lifts ""W07A1"", ""W07A2"" and ""W07A3"" will be joined under the name of ""W07"".",Code 02a.,P-P-S-6741-0002
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
