Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duation in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,TRF5,SW,10,PTRF5SW10,PTRF5SW10,10/14/2013,10/14/2013,1,85,60,1,29,Construct,,,,
P,TRF5,SW,09,PTRF5SW09,PTRF5SW09,11/12/2013,11/13/2013,2,65,45,2,14,Construct,,,,
P,TRF5,SW,08,PTRF5SW08,PTRF5SW08,11/27/2013,11/27/2013,1,52,45,1,42,Construct,,,,
P,TRF5,SW,07,PTRF5SW07,PTRF5SW07,01/08/2014,01/08/2014,1,61,45,1,27,Construct,,,,
P,TRF5,SW,06,PTRF5SW06,PTRF5SW06,02/04/2014,02/04/2014,1,65,45,1,41,Construct,,,,
P,TRF5,SW,05,PTRF5SW05,PTRF5SW05,03/17/2014,03/17/2014,1,48,45,1,16,Construct,,,,
P,TRF5,SW,04,PTRF5SW04,PTRF5SW04,04/02/2014,04/02/2014,1,48,40,1,19,Construct,,,,
P,TRF5,SW,03,PTRF5SW03,PTRF5SW03,04/21/2014,04/21/2014,1,73,50,1,63,Construct,,,,
P,TRF5,SW,02,PTRF5SW02,PTRF5SW02,06/23/2014,06/23/2014,1,46,40,1,7,Construct,,,,
P,TRF5,SW,01,PTRF5SW01,PTRF5SW01,06/30/2014,06/30/2014,1,22,25,1,-217,Construct,,,,
P,TRF5,P3,09,PTRF5P309,PTRF5P309,11/25/2013,11/25/2013,1,8,5,1,63,Construct,,,,
P,TRF5,P3,08,PTRF5P308,PTRF5P308,01/27/2014,01/27/2014,1,11,10,1,59,Construct,,,,
P,TRF5,P3,07,PTRF5P307,PTRF5P307,03/27/2014,03/27/2014,1,8,20,1,25,Construct,,,,
P,TRF5,P3,06,PTRF5P306,PTRF5P306,04/21/2014,04/21/2014,1,40,25,1,26,Construct,,,,
P,TRF5,P3,05,PTRF5P305,PTRF5P305,05/17/2014,05/17/2014,1,38,30,1,19,Construct,,,,
P,TRF5,P3,04,PTRF5P304,PTRF5P304,06/05/2014,06/05/2014,1,32,35,1,7,Construct,,,,
P,TRF5,P3,03,PTRF5P303,PTRF5P303,06/12/2014,06/12/2014,1,57,75,1,13,Construct,,,,
P,TRF5,P3,01,PTRF5P301,PTRF5P301,06/25/2014,06/25/2014,1,71,75,1,0,Construct,Code 03.,"Lift ""P3-02+01"" will be separated into ""P301"" and ""P302"". All quantities will be assigned to ""P301"".",Code 03a.,P-P-S-6141-0002
P,TRF5,P3,02,PTRF5P302,PTRF5P302,06/25/2014,06/25/2014,1,0,0,0,0,Construct,Code 03.,"Lift ""P3-02+01"" will be separated into ""P301"" and ""P302"". All quantities will be assigned to ""P301"".",Code 03a.,P-P-S-6141-0002
P,TRF5,P4,03,PTRF5P403,PTRF5P403,06/25/2014,06/25/2014,1,22,25,1,10,Construct,,,,
P,TRF5,P1,04,PTRF5P104,PTRF5P104,07/05/2014,07/05/2014,1,11,10,1,4,Construct,,,,
P,TRF5,P2,03,PTRF5P203,PTRF5P203,07/09/2014,07/09/2014,1,23,20,1,0,Construct,,,,
P,TRF5,P5,04,PTRF5P504,PTRF5P504,07/09/2014,07/09/2014,1,11,10,1,5,Construct,,,,
