Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Note,Corrections
P,MW,M05,C03 c,PMWM05C03c,PMWM05C03c,06/30/2012,06/30/2012,1,81,81,1,14,Construct,,,,,,
P,MW,M05,C04 b,PMWM05C04b,PMWM05C04b,07/14/2012,07/14/2012,1,216,136,1,10,Construct,,,,,,
P,MW,M05,C03 b,PMWM05C03b,PMWM05C03b,07/24/2012,07/24/2012,1,204,194,1,93,Construct,,,,,,
P,MW,M05,C02,PMWM05C02,PMWM05C02,10/25/2012,10/25/2012,1,313,299,1,12,Construct,,,,,,
P,MW,M05,C01,PMWM05C01,PMWM05C01,11/06/2012,11/17/2012,12,975,999,3,312,Construct,,,,,,
P,MW,M05,W09,PMWM05W09,PMWM05W09,09/25/2013,09/26/2013,2,481,494,2,19,Construct,,,,,,
P,MW,M05,W08,PMWM05W08,PMWM05W08,10/15/2013,10/15/2013,1,425,419,1,8,Construct,,,,,,
P,MW,M05,W07,PMWM05W07,PMWM05W07,10/23/2013,10/23/2013,1,344,344,1,82,Construct,,,,,,
P,MW,M05,W06,PMWM05W06,PMWM05W06,01/13/2014,01/13/2014,1,313,280,1,17,Construct,,,,,,
P,MW,M05,W05,PMWM05W05,PMWM05W05,01/30/2014,01/30/2014,1,296,282,1,50,Construct,,,,,,
P,MW,M05,W04,PMWM05W04,PMWM05W04,03/21/2014,03/21/2014,1,257,233,1,15,Construct,,,,,,
P,MW,M05,W03b,PMWM05W03b,PMWM05W03b,04/05/2014,04/05/2014,1,211,211,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2283-0002,,
P,MW,M05,W03a,PMWM05W03a,PMWM05W03a,04/06/2014,04/06/2014,1,0,0,0,36,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2283-0002,,
P,MW,M05,W02,PMWM05W02,PMWM05W02,05/12/2014,05/12/2014,1,189,170,1,144,Construct,,,,,,
P,MW,M05,W01,PMWM05W01,PMWM05W01,10/03/2014,10/03/2014,1,70,102,1,-833,Construct,,,,,,
P,MW,M06,F03,PMWM06F03,PMWM06F03,06/22/2012,06/22/2012,1,290,248,1,26,Construct,,,,,,
P,MW,M06,F02,PMWM06F02,PMWM06F02,07/18/2012,07/19/2012,2,488,472,2,9,Construct,,,,,,
P,MW,M06,F01,PMWM06F01,PMWM06F01,07/28/2012,03/05/2013,221,549,512,3,1,Construct,Code 02.,"Joining ""F01"", ""F01b"" and ""F01c"" under the name of ""F01""",Code 02a.,P-P-S-2302-0001,"entry has no subdivisions in model, joining pours",
P,MW,M06,C04 b,PMWM06C04b,PMWM06C04b,03/06/2013,03/06/2013,1,125,111,1,14,Construct,,,,,,
P,MW,M06,C04 c,PMWM06C04c,PMWM06C04c,03/20/2013,03/20/2013,1,49,46,1,57,Construct,,,,,,
P,MW,M06,C03 b,PMWM06C03b,PMWM06C03b,05/16/2013,05/16/2013,1,112,122,1,4,Construct,,,,,,
P,MW,M06,C04 a,PMWM06C04a,PMWM06C04a,05/20/2013,05/20/2013,1,145,94,1,3,Construct,,,,,,
P,MW,M06,C03 c,PMWM06C03c,PMWM06C03c,05/23/2013,05/24/2013,2,57,46,2,4,Construct,,,,,,
P,MW,M06,C03 a,PMWM06C03a,PMWM06C03a,05/28/2013,05/28/2013,1,129,94,1,29,Construct,,,,,,
P,MW,M06,C02,PMWM06C02,PMWM06C02,06/26/2013,06/26/2013,1,193,193,1,7,Construct,,,,,,
P,MW,M06,C01,PMWM06C01,PMWM06C01,07/03/2013,07/19/2013,17,622,602,3,19,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2302-0001,"entry has no subdivisions in model, joining pours",
P,MW,M06,W09,PMWM06W09,PMWM06W09,08/07/2013,08/07/2013,1,301,296,1,20,Construct,,,,,,
