Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,,Revision Process,,RFC Number
A,T1,C309,W01b,AT1C309W01b,AT1C309W01b,08/05/2013,08/06/2013,2,0,0,0,4,Construct,Code 04.,"Lift ""C3-08/09 W01b"" will be divided into ""C3-08 W01b"" and ""C3-09 W01b"".  All quantities will be assigned to ""C3-08 W01b"".",Code 04a.,A-P-S-6810-0004
A,T1,C308,P01,AT1C308P01,AT1C308P01,08/10/2013,08/10/2013,1,48,48,1,0,Construct,Code 04.,"Lift ""C03-08/09 P01/P02"" will be separated into ""C03-08 P01"", ""C03-08 P02"", ""C03-09 P01"" and ""C03-09 P02"".  All quantities will be assgned to ""C03-08 P01"".",Code 04a.,A-P-S-6810-0004
A,T1,C308,P02,AT1C308P02,AT1C308P02,08/10/2013,08/10/2013,1,0,0,0,0,Construct,Code 04.,"Lift ""C03-08/09 P01/P02"" will be separated into ""C03-08 P01"", ""C03-08 P02"", ""C03-09 P01"" and ""C03-09 P02"".  All quantities will be assgned to ""C03-08 P01"".",Code 04a.,A-P-S-6810-0004
A,T1,C309,P01,AT1C309P01,AT1C309P01,08/10/2013,08/10/2013,1,0,0,0,1,Construct,Code 04.,"Lift ""C03-08/09 P01/P02"" will be separated into ""C03-08 P01"", ""C03-08 P02"", ""C03-09 P01"" and ""C03-09 P02"".  All quantities will be assgned to ""C03-08 P01"".",Code 04a.,A-P-S-6810-0004
A,T1,C309,R04,AT1C309R04,AT1C309R04,08/11/2013,08/11/2013,1,0,0,0,-1,Construct,Code 01.,"A new row was created under the name of C03-09 R04"" with 0 quantities and the dates of the preivous lift plus one day.",Code 01b.,A-P-S-6810-0004
A,T1,C309,P02,AT1C309P02,AT1C309P02,08/10/2013,08/10/2013,1,0,0,0,107,Construct,Code 04.,"Lift ""C03-08/09 P01/P02"" will be separated into ""C03-08 P01"", ""C03-08 P02"", ""C03-09 P01"" and ""C03-09 P02"".  All quantities will be assgned to ""C03-08 P01"".",Code 04a.,A-P-S-6810-0004
A,T1,C308,R03,AT1C308R03,AT1C308R03,11/25/2013,11/26/2013,2,552,450,2,-1,Construct,Code 04.,"Lift ""C03-08/09 R03/R02"" will be separated into ""C03-08 R03"", ""C03-08 R02"", ""C03-09 R03"", ""C03-09 R02a"" and ""C03-09 R02b"".  All quantities will be assgned to ""C03-08 R03"".",Code 04a.,A-P-S-6810-0004
A,T1,C308,R02,AT1C308R02,AT1C308R02,11/25/2013,11/26/2013,2,0,0,0,-1,Construct,Code 04.,"Lift ""C03-08/09 R03/R02"" will be separated into ""C03-08 R03"", ""C03-08 R02"", ""C03-09 R03"", ""C03-09 R02a"" and ""C03-09 R02b"".  All quantities will be assgned to ""C03-08 R03"".",Code 04a.,A-P-S-6810-0004
A,T1,C309,R03,AT1C309R03,AT1C309R03,11/25/2013,11/26/2013,2,0,0,0,-1,Construct,Code 04.,"Lift ""C03-08/09 R03/R02"" will be separated into ""C03-08 R03"", ""C03-08 R02"", ""C03-09 R03"", ""C03-09 R02a"" and ""C03-09 R02b"".  All quantities will be assgned to ""C03-08 R03"".",Code 04a.,A-P-S-6810-0004
A,T1,C309,R02a,AT1C309R02a,AT1C309R02a,11/25/2013,11/26/2013,2,0,0,0,-1,Construct,Code 04.,"Lift ""C03-08/09 R03/R02"" will be separated into ""C03-08 R03"", ""C03-08 R02"", ""C03-09 R03"", ""C03-09 R02a"" and ""C03-09 R02b"".  All quantities will be assgned to ""C03-08 R03"".",Code 04a.,A-P-S-6810-0005
