Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W05,ALWM05W05,ALWM05W05,11/06/2013,11/07/2013,2,458,411,2,12,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W04,ALWM05W04,ALWM05W04,11/19/2013,11/20/2013,2,328,344,2,13,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W03b,ALWM05W03b,ALWM05W03b,12/03/2013,12/03/2013,1,231,221,1,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W03a,ALWM05W03a,ALWM05W03a,12/13/2013,12/14/2013,2,234,201,2,24,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W02,ALWM05W02,ALWM05W02,01/07/2014,01/07/2014,1,208,175,1,417,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W01,ALWM05W01,ALWM05W01,02/28/2015,02/28/2015,1,109,100,1,-639,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,F02,ALWM06F02,ALWM06F02,05/30/2013,05/31/2013,2,580,594,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,F01,ALWM06F01,ALWM06F01,06/04/2013,08/23/2013,81,517,491,5,24,Construct,Code 02.,"Joining lift ""F01"", ""F01 a"", ""F01 b"" and ""F01 c"", under the name of ""F01"".",Code 02a.,A-P-S-3300-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C04a,ALWM06C04a,ALWM06C04a,09/16/2013,09/16/2013,1,56,63,1,0,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C04c,ALWM06C04c,ALWM06C04c,09/16/2013,09/16/2013,1,48,47,1,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C03c,ALWM06C03c,ALWM06C03c,09/19/2013,09/19/2013,1,76,49,1,1,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C03a,ALWM06C03a,ALWM06C03a,09/20/2013,09/20/2013,1,53,65,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
