id,date,global_area,area,structure,monolith,lift,side,name,icl_found,defects,ncr,cod,formwork_defects,rebar_defects
4145,10/8/2013 0:00,LUC WSB,WSB Conduit ,T2,C304,W02b,A,AT2C304W02b,Yes,0,0,0,0,0
4146,10/10/2013 0:00,LUC WSB,WSB Conduit ,T2,C205,F01,A,AT2C205F01,Yes,0,0,1,0,0
4147,10/10/2013 0:00,LUC WSB,WSB Conduit ,T2,C303,W01a,A,AT2C303W01a,Yes,0,0,1,0,0
4148,10/10/2013 0:00,LUC WSB,WSB Conduit ,T2,C304,W01a,A,AT2C304W01a,Yes,0,0,1,0,0
4149,10/10/2013 0:00,LUC WSB,WSB Conduit ,T1,C304,W02b,A,AT1C304W02b,Yes,0,0,0,0,0
4150,10/11/2013 0:00,LUC WSB,Trifurcation ,TRF1,NW,1,A,ATRF1NW01,Yes,0,0,0,0,0
4151,10/11/2013 0:00,LUC WSB,Trifurcation ,TRF1,SW,1,A,ATRF1SW01,Yes,0,0,0,0,0
4152,10/12/2013 0:00,LUC WSB,Trifurcation ,TRF1,NW,2,A,ATRF1NW02,No,0,0,0,0,0
4153,10/12/2013 0:00,LUC WSB,Trifurcation ,TRF1,SW,2,A,ATRF1SW02,No,0,0,0,0,0
4154,10/13/2013 0:00,LUC WSB,Trifurcation ,TRF2,R,9,A,ATRF2R09,Yes,0,0,0,0,0
4155,10/14/2013 0:00,LUC WSB,WSB Conduit ,T1,C306,R01,A,AT1C306R01,Yes,0,0,1,0,0
4156,10/15/2013 0:00,LUC WSB,Trifurcation ,TRF2,NW,3,A,ATRF2NW03,Yes,0,0,1,0,0
4157,10/15/2013 0:00,LUC WSB,Trifurcation ,TRF2,SW,3,A,ATRF2SW03,Yes,0,0,1,0,0
4158,10/15/2013 0:00,LUC WSB,WSB Conduit ,T2,C302,W02a,A,AT2C302W02a,Yes,0,0,1,0,0
4159,10/15/2013 0:00,LUC WSB,WSB Conduit ,T2,C310,P03,A,AT2C310P03,Yes,0,0,0,0,0
4160,10/16/2013 0:00,LUC WSB,WSB Conduit ,T2,C304,W01b,A,AT2C304W01b,Yes,0,0,0,0,0
4161,10/17/2013 0:00,LUC WSB,Trifurcation ,TRF2,P3,3,A,ATRF2P303,Yes,0,0,0,0,0
4162,10/17/2013 0:00,LUC WSB,WSB Conduit ,T1,C304,W01b,A,AT1C304W01b,Yes,0,0,0,0,0
4163,10/18/2013 0:00,LUC WSB,WSB Conduit ,T2,C305,R01,A,AT2C305R01,Yes,0,0,0,0,0
4164,10/18/2013 0:00,LUC WSB,WSB Conduit ,T2,C305,R02,A,AT2C305R02,Yes,0,0,0,0,0
4165,10/19/2013 0:00,LUC WSB,WSB Conduit ,T1,C102,F01a,A,AT1C102F01a,Yes,0,0,0,0,0
4166,10/22/2013 0:00,LUC WSB,WSB Conduit ,T2,C102,F01a,A,AT2C102F01a,Yes,0,0,0,0,0
4167,10/22/2013 0:00,LUC WSB,WSB Conduit ,T2,C102,F01b,A,AT2C102F01b,Yes,0,0,0,0,0
4168,10/22/2013 0:00,LUC WSB,WSB Conduit ,T1,C311,F01a,A,AT1C311F01a,Yes,1,0,0,0,1
4169,10/23/2013 0:00,LUC WSB,Dividing Wall ,DW,U02C,W02,A,ADWU02CW02,No,0,0,0,0,0
