id,date,global_area,area,structure,monolith,lift,side,name,icl_found,defects,ncr,cod,formwork_defects,rebar_defects
224,7/18/2012 0:00,LH1,Lock Head 1,H1W,6A,W09a,P,PH1W6AW09a,Yes,0,0,0,0,0
225,7/10/2012 0:00,LH1,Lock Head 1,H1W,6A,W09b,P,PH1W6AW09b,Yes,0,0,0,0,0
226,7/21/2012 0:00,LH1,Lock Head 1,H1W,6A,W09c,P,PH1W6AW09c,Yes,1,0,0,0,1
227,9/3/2012 0:00,LH1,Lock Head 1,H1W,6A,W08,P,PH1W6AW08,Yes,7,0,0,2,5
228,9/18/2012 0:00,LH1,Lock Head 1,H1W,6A,W07,P,PH1W6AW07,Yes,6,0,0,1,4
229,10/4/2012 0:00,LH1,Lock Head 1,H1W,6A,W06a,P,PH1W6AW06a,Yes,5,0,0,2,3
230,10/4/2012 0:00,LH1,Lock Head 1,H1W,6A,W06b,P,PH1W6AW06b,Yes,3,0,0,2,1
231,10/22/2012 0:00,LH1,Lock Head 1,H1W,6A,W05a,P,PH1W6AW05a,Yes,1,0,0,0,1
232,10/22/2012 0:00,LH1,Lock Head 1,H1W,6A,W05b,P,PH1W6AW05b,Yes,1,0,1,0,1
233,11/19/2012 0:00,LH1,Lock Head 1,H1W,6A,W04,P,PH1W6AW04,Yes,1,0,0,0,1
234,4/4/2012 0:00,LH1,Lock Head 1,H1W,6B,F03,P,PH1W6BF03,Yes,2,0,0,0,1
235,4/23/2012 0:00,LH1,Lock Head 1,H1W,6B,F02,P,PH1W6BF02,Yes,4,1,0,0,3
236,5/22/2012 0:00,LH1,Lock Head 1,H1W,6B,F01,P,PH1W6BF01,Yes,2,0,1,1,1
237,8/7/2012 0:00,LH1,Lock Head 1,H1W,6B,W10a,P,PH1W6BW10a,Yes,0,0,0,0,0
238,8/6/2012 0:00,LH1,Lock Head 1,H1W,6B,W10b,P,PH1W6BW10b,Yes,0,1,0,0,0
239,7/12/2012 0:00,LH1,Lock Head 1,H1W,6B,W10c,P,PH1W6BW10c,Yes,2,0,0,0,2
240,8/18/2012 0:00,LH1,Lock Head 1,H1W,6B,W09a,P,PH1W6BW09a,Yes,0,0,0,0,0
