site,report,lift,qty_equipment,volume,concrete_start,concrete_finish,duration,calc_duration,calc_rate,rate,type
P,4286,PMEM15W07,1,256,7/24/2013 18:25,7/25/2013 3:25,9,9,28.44444444,28,Redfern Request 325
P,4102,PMEM15W08,1,332,7/8/2013 4:25,7/9/2013 0:42,20.28333333,20.28,16.36811832,16,Redfern Request 325
P,6983,PMEM17C01,2,815,5/24/2014 8:00,5/24/2014 21:30,13.5,13.5,60.37037037,60,Redfern Request 325
P,6891,PMEM17C01,2,499.25,5/17/2014 8:00,5/17/2014 19:40,11.66666667,11.67,42.79285714,43,Redfern Request 325
P,6839,PMEM17C02,2,476.5,5/14/2014 7:30,5/14/2014 22:55,15.41666667,15.42,30.90810811,31,Redfern Request 325
P,6508,PMEM17C03a,1,207,4/1/2014 8:32,4/1/2014 17:30,8.966666667,8.97,23.08550186,12,Redfern Request 325
P,6432,PMEM17C03b,Blank,282,3/24/2014 9:02,3/24/2014 19:38,10.6,10.6,26.60377358,27,Redfern Request 325
P,6630,PMEM17C03c,1,113,4/11/2014 8:44,4/11/2014 13:06,4.366666667,4.37,25.8778626,26,Redfern Request 325
P,Blank,PMEM17C04a,1,242.5,2/27/2014 8:26,2/27/2014 16:04,7.633333333,7.63,31.76855895,31.77,Redfern Request 325
P,Blank,PMEM17C04c,1,125.5,3/14/2014 9:37,3/14/2014 15:15,5.633333333,5.63,22.27810651,22.28,Redfern Request 325
P,4679,PMEM17F01,1,29,8/26/2013 4:25,8/26/2013 4:45,0.333333333,0.33,87,87,Redfern Request 325
P,4211,PMEM17F03,1,1033,7/17/2013 17:20,7/17/2013 21:15,3.916666667,3.92,263.7446809,37,Redfern Request 325
P,7790,PMEM17W05,1,371.5,7/18/2014 8:54,7/18/2014 23:15,14.35,14.35,25.88850174,26,Redfern Request 325
P,7642,PMEM17W06,1,372,7/9/2014 2:09,7/9/2014 13:07,10.96666667,10.97,33.92097264,34,Redfern Request 325
P,7496,PMEM17W07,1,482,6/27/2014 0:10,6/27/2014 15:00,14.83333333,14.83,32.49438202,32,Redfern Request 325
P,7301,PMEM17W08,2,541.5,6/13/2014 12:30,6/13/2014 23:50,11.33333333,11.33,47.77941176,48,Redfern Request 325
P,7775,PMEM18C01,1,353.25,7/17/2014 16:00,7/18/2014 0:30,8.5,8.5,41.55882353,42,Redfern Request 325
P,Blank,PMEM18C03a,1,100,4/9/2014 9:22,4/9/2014 13:25,4.05,4.05,24.69135802,12,Redfern Request 325
P,6732,PMEM18C03b,1,115.5,4/21/2014 9:00,4/21/2014 13:22,4.366666667,4.37,26.45038168,26,Redfern Request 325
P,7370,PMEM18C03c,1,48.5,6/19/2014 1:00,6/19/2014 3:00,2,2,24.25,24,Redfern Request 325
P,6363,PMEM18C04a,1,101.5,3/17/2014 11:20,3/17/2014 16:00,4.666666667,4.67,21.75,22,Redfern Request 325
P,Blank,PMEM18C04b,1,129.5,3/12/2014 8:36,3/12/2014 13:00,4.4,4.4,29.43181818,29.43,Redfern Request 325
P,6492,PMEM18C04c,1,56,3/29/2014 14:33,3/29/2014 18:24,3.85,3.85,14.54545455,15,Redfern Request 325
P,7288,PMEM19C01,2,834.5,6/13/2014 16:40,6/14/2014 6:00,13.33333333,13.33,62.5875,63,Redfern Request 325
P,7192,PMEM19C01,2,450,6/7/2014 8:30,6/7/2014 17:30,9,9,50,50,Redfern Request 325
P,7141,PMEM19C02,2,442,6/4/2014 8:35,6/4/2014 18:00,9.416666667,9.42,46.9380531,47,Redfern Request 325
P,6541,PMEM19C03c,1,114,4/3/2014 8:27,4/3/2014 13:16,4.816666667,4.82,23.66782007,12,Redfern Request 325
P,4460,PMEM19C04a,1,310,8/7/2013 15:10,8/8/2013 2:25,11.25,11.25,27.55555556,28,Redfern Request 325
P,4791,PMEM19F01,1,1013,9/3/2013 4:45,9/4/2013 2:15,21.5,21.5,47.11627907,47,Redfern Request 325
P,7498,PMEM19W09,1,650.5,6/27/2014 15:50,6/28/2014 9:12,17.36666667,17.37,37.45681382,37,Redfern Request 325
P,6785,PMEM20C01,2,612.5,5/10/2014 8:00,5/10/2014 22:00,14,14,43.75,43,Redfern Request 325
P,6691,PMEM20C01,2,307,4/15/2014 17:00,4/16/2014 0:00,7,7,43.85714286,44,Redfern Request 325
P,6628,PMEM20C02,1,326,4/10/2014 8:25,4/10/2014 18:20,9.916666667,9.92,32.87394958,10,Redfern Request 325
P,Blank,PMEM20C03c,1,80,3/19/2014 16:26,3/19/2014 19:35,3.15,3.15,25.3968254,25.4,Redfern Request 325
P,7438,PMEM20W06,2,266,6/24/2014 22:30,6/25/2014 4:35,6.083333333,6.08,43.7260274,44,Redfern Request 325
P,7232,PMEM20W07,1,333,6/10/2014 18:15,6/11/2014 8:50,14.58333333,14.58,22.83428571,Blank,Redfern Request 325
P,7065,PMEM20W08,2,390.75,5/29/2014 8:05,5/29/2014 15:44,7.65,7.65,51.07843137,51,Redfern Request 325
P,6905,PMEM20W09,2,478,5/19/2014 9:15,5/19/2014 21:16,12.01666667,12.02,39.77808599,40,Redfern Request 325
P,Blank,PMEM21C01,2,0,3/20/2014 8:05,3/20/2014 20:05,12,12,0,Blank,Redfern Request 325
P,Blank,PMEM21C01,2,384,3/15/2014 9:07,3/15/2014 16:52,7.75,7.75,49.5483871,24.77,Redfern Request 325
P,Blank,PMEM21C02,2,391.5,3/10/2014 8:42,3/10/2014 14:58,6.266666667,6.27,62.47340426,62.47,Redfern Request 325
P,6300,PMEM21C02,2,391.5,3/8/2013 8:42,3/8/2013 14:58,6.266666667,6.27,62.47340426,62,Redfern Request 325
P,Blank,PMEM21C04,1,94,11/12/2013 11:54,11/13/2013 4:35,16.68333333,16.68,5.634365634,Blank,Redfern Request 325
P,Blank,PMEM21C05,1,106.5,10/23/2013 12:10,10/24/2013 4:13,16.05,16.05,6.635514019,n.a,Redfern Request 325
P,7280,PMEM21W09,2,512,6/12/2014 1:15,6/12/2014 12:00,10.75,10.75,47.62790698,48,Redfern Request 325
P,5731,PMEM22C02,1,197,11/19/2013 0:55,11/19/2013 8:50,7.916666667,7.92,24.88421053,25,Redfern Request 325
P,5795,PMEM22C03,1,382,11/25/2013 12:36,11/25/2013 17:25,4.816666667,4.82,79.30795848,79,Redfern Request 325
P,5512,PMEM22C04,1,305,10/29/2013 21:40,10/30/2013 8:50,11.16666667,11.17,27.31343284,27,Redfern Request 325
P,5372,PMEM22C05,1,186,10/17/2013 22:48,10/18/2013 11:20,12.53333333,12.53,14.84042553,15,Redfern Request 325
P,5256,PMEM22C06,1,197,10/9/2013 11:36,10/10/2013 2:20,14.73333333,14.73,13.37104072,13,Redfern Request 325
P,4834,PMEM22C09a,1,75,9/6/2013 0:30,9/6/2013 10:50,10.33333333,10.33,7.258064516,7,Redfern Request 325
P,4854,PMEM22C09c,1,43.5,9/9/2013 20:42,9/9/2013 23:43,3.016666667,3.02,14.4198895,14,Redfern Request 325
P,4589,PMEM22F01.1b,1,126,8/17/2013 0:05,8/17/2013 6:00,5.916666667,5.92,21.29577465,21,Redfern Request 325
P,4146,PMEM22F01a,1,124,7/11/2013 15:20,7/11/2013 22:15,6.916666667,6.92,17.92771084,18,Redfern Request 325
P,4379,PMEM22F03.1a,1,49,7/31/2013 2:10,7/31/2013 4:46,2.6,2.6,18.84615385,19,Redfern Request 325
P,7383,PMEM22W03a,1,207,6/20/2014 16:00,6/21/2014 2:30,10.5,10.5,19.71428571,20,Redfern Request 325
P,7383,PMEM22W03b,1,207,6/20/2014 16:00,6/21/2014 2:30,10.5,10.5,19.71428571,20,Redfern Request 325
P,7160,PMEM22W04,1,237,6/5/2014 11:15,6/5/2014 21:45,10.5,10.5,22.57142857,23,Redfern Request 325
P,6959,PMEM22W05,1,269,5/22/2014 21:25,5/23/2014 1:35,4.166666667,4.17,64.56,65,Redfern Request 325
P,6823,PMEM22W06,1,272.5,5/13/2014 8:22,5/13/2014 17:55,9.55,9.55,28.53403141,29,Redfern Request 325
P,6664,PMEM22W07,1,332,4/14/2014 8:28,4/14/2014 21:46,13.3,13.3,24.96240602,25,Redfern Request 325
P,6557,PMEM22W08,1,412,4/3/2014 16:20,4/4/2014 1:20,9,9,45.77777778,23,Redfern Request 325
P,6400,PMEM22W09,2,448.5,3/20/2014 8:27,3/20/2014 17:30,9.05,9.05,49.55801105,50,Redfern Request 325
P,5883,PMEM23C01,1,272,12/3/2013 5:20,12/3/2013 16:25,11.08333333,11.08,24.54135338,25,Redfern Request 325
P,5270,PMEM23C03a,1,336.5,10/9/2013 5:32,10/9/2013 21:40,16.13333333,16.13,20.85743802,8,Redfern Request 325
P,4923,PMEM23C04a,1,586,9/13/2013 5:46,9/13/2013 22:30,16.73333333,16.73,35.01992032,35,Redfern Request 325
P,5354,PMEM23C04b,1,280,10/17/2013 15:40,10/18/2013 11:44,20.06666667,20.07,13.95348837,14,Redfern Request 325
P,4259,PMEM23F01b,1,587,7/22/2013 11:10,7/23/2013 8:42,21.53333333,21.53,27.26006192,27,Redfern Request 325
P,4650,PMEM23F02a,1,269,8/23/2013 16:00,8/24/2013 11:45,19.75,19.75,13.62025316,14,Redfern Request 325
