original_lift,lift,rebar_units,actual_start
T3-C2-06-W01-20,PT3C206W01,2046,12/03/2014
T3-C2-07-W07-20,PT3C207W07,2212,10/06/2014
T3-C2-07-W06-20,PT3C207W06,3602,11/30/2014
T3-C2-07-W05-20,PT3C207W05,5894,02/14/2015
T3-C2-07-W04b-20,PT3C207W04b,3775,02/24/2015
T3-C2-07-W03b-20,PT3C207W03b,4323,02/24/2015
T3-C2-07-W02b-20,PT3C207W02b,2240,03/12/2015
T3-C2-07-W01b-20,PT3C207W01b,4250,03/27/2015
T3-C2-08-W05-20,PT3C208W05,2986,12/29/2014
T3-C2-08-W04b-20,PT3C208W04b,2970,02/24/2015
T3-C2-08-W03b-20,PT3C208W03b,1193,02/24/2015
T3-C2-08-W02b-20,PT3C208W02b,333,03/12/2015
T3-C2-08-W01b-20,PT3C208W01b,1218,03/27/2015
T3-C2-01-W01-20,PT3C201W01,1144,08/08/2014
T3-C2-05-W01-20,PT3C205W01,4098,09/23/2014
T3-C2-01-R02-20,PT3C201R02,4910,09/02/2014
T3-C2-01-R01-20,PT3C201R01,6765,09/08/2014
T3-C2-02-R02-20,PT3C202R02,13680,09/02/2014
T3-C2-02-R01-20,PT3C202R01,7069,09/08/2014
T3-C2-03-R02-20,PT3C203R02,24411,09/20/2014
T3-C2-03-R01-20,PT3C203R01,28320,09/24/2014
T3-C2-04-R02-20,PT3C204R02,12280,10/27/2014
T3-C2-04-R01-20,PT3C204R01,7723,10/29/2014
T3-C2-05-R06-20,PT3C205R06,11005,11/17/2014
T3-C2-05-R05-20,PT3C205R05,4328,01/20/2015
T3-C2-05-R04a-20,PT3C205R04a,0,02/20/2015
T3-C2-05-R04b-20,PT3C205R04b,13296,02/20/2015
T3-C2-05-R03-20,PT3C205R03,5130,03/09/2015
T3-C2-05-R02-20,PT3C205R02,11075,03/18/2015
T3-C2-05-R01-20,PT3C205R01,8227,03/18/2015
T3-C2-05-P04-20,PT3C205P04,3905,10/07/2014
T3-C2-05-P03-20,PT3C205P03,1229,10/14/2014
T3-C2-05-P01-20,PT3C205P01,1895,10/20/2014
T3-C2-06-P04-20,PT3C206P04,3756,10/27/2014
T3-C2-06-P03-20,PT3C206P03,1884,10/27/2014
T3-C2-06-P02-20,PT3C206P02,972,11/06/2014
T3-C2-06-P01-20,PT3C206P01,2359,11/06/2014
T3-C2-07-P07-20,PT3C207P07,1715,02/27/2015
T3-C2-07-P06-20,PT3C207P06,2894,02/27/2015
T3-C2-07-P05-20,PT3C207P05,3483,03/25/2015
T3-C2-07-P04-20,PT3C207P04,4872,03/25/2015
T3-C2-07-P03-20,PT3C207P03,2370,04/06/2015
T3-C2-07-P02b-20,PT3C207P02b,1318,04/10/2015
T3-C2-07-P01-20,PT3C207P01,243,04/13/2015
T3-C2-08-P05-20,PT3C208P05,513,03/25/2015
T3-C2-08-P04-20,PT3C208P04,3610,03/25/2015
T3-C2-08-P03-20,PT3C208P03,1546,04/06/2015
T3-C2-08-P02b-20,PT3C208P02b,760,04/11/2015
T3-C2-08-P01-20,PT3C208P01,148,04/13/2015
T3-C2-08-P02a-20,PT3C208P02a,760,04/11/2015
T3-C2-07-P02a-20,PT3C207P02a,1318,04/10/2015
T3-C2-05-P02-20,PT3C205P02,1229,10/20/2014
T3-C1-03-W02d-20,PT3C103W02d,3013,03/12/2015
T3-C1-03-W01d-20,PT3C103W01d,4515,04/18/2015
