lift,actual_start,actual_quantity
ALEM03C03b,06/27/2012,198
ALEM03C04a,06/29/2012,111
ALEM03C03a,07/04/2012,104
ALEM03C02,07/25/2012,303
ALEM03C01,08/11/2012,1107
ALEM03W07,08/22/2013,409
ALEM03W06,08/30/2013,357
ALEM03W05,09/05/2013,296
ALEM03W04,09/13/2013,288
ALEM03W03b,09/20/2013,189
ALEM03W03a,10/01/2013,153
ALEM03W02,10/10/2013,135
ALEM03W01,09/03/2014,64
ALEM04F02,05/04/2012,1009
ALEM04F01,05/11/2012,855
ALEM04C04a,06/06/2012,104
ALEM04C03a,06/15/2012,118
ALEM04C04c,06/19/2012,80
ALEM04C03c,06/22/2012,88
ALEM04C04b,07/11/2012,204
ALEM04C03b,07/16/2012,198
ALEM04C02,08/04/2012,292
ALEM04C01,08/17/2012,967
ALEM04W07,08/31/2012,388
ALEM04W06,09/11/2012,362
ALEM04W05,09/22/2012,320
ALEM04W04,10/04/2012,272
ALEM04W03b,10/16/2012,160
ALEM04W03a,11/07/2012,160
ALEM04W02,11/24/2012,152
ALEM04W01,09/09/2014,64
ALEM05F02,06/04/2012,1012
ALEM05F01,06/08/2012,859
ALEM05C04a,07/03/2012,120
ALEM05C04c,07/03/2012,104
ALEM05C03c,07/06/2012,70
ALEM05C03a,07/09/2012,136
ALEM05C04b,07/24/2012,183
ALEM05C03b,07/31/2012,200
ALEM05C02,08/13/2012,302
ALEM05C01,08/22/2012,942
ALEM05W07,09/24/2012,368
ALEM05W06,10/04/2012,352
ALEM05W05,10/16/2012,304
ALEM05W04,11/07/2012,256
ALEM05W03b,12/03/2012,144
ALEM05W03a,12/11/2012,144
ALEM05W02,12/27/2012,136
ALEM05W01,09/19/2014,72
ALEM06F02,01/08/2013,600
ALEM06F01,01/11/2013,480
ALEM06C04c,06/18/2013,64
ALEM06C04b,06/20/2013,120
ALEM06C04a,06/21/2013,72
ALEM06C03b,06/25/2013,104
ALEM06C03a,06/28/2013,72
ALEM06C03c,06/28/2013,47
ALEM06C02,07/08/2013,164
ALEM06C01,07/12/2013,588
ALEM06W07,07/18/2013,228
ALEM06W06,07/29/2013,236
ALEM06W05,08/06/2013,200
ALEM06W04,08/12/2013,160
ALEM06W03b,08/23/2013,106
ALEM06W03a,08/30/2013,88
ALEM06W02,09/09/2013,88
ALEM06W01,09/24/2014,46
ALEM07F02,08/13/2013,982
ALEM07F01,08/19/2013,1020
ALEM07C04c,09/16/2013,124
ALEM07C04a,09/17/2013,214
ALEM07C03c,09/24/2013,112
ALEM07C03a,09/27/2013,192
ALEM07C04b,10/01/2013,230
ALEM07C03b,10/09/2013,238
ALEM07C02,10/16/2013,453
ALEM07C01,10/21/2013,1317
ALEM07W07,10/31/2013,506
ALEM07W06,11/13/2013,431
ALEM07W05,11/20/2013,394
ALEM07W04,11/30/2013,314
ALEM07W03b,12/07/2013,246
ALEM07W03a,01/14/2014,188
ALEM07W02,01/23/2014,188
ALEM07W01,03/14/2014,160
ALEM08F02,02/16/2013,1215
ALEM08F01,02/26/2013,808
ALEM08C04c,05/24/2013,88
ALEM08C03c,05/29/2013,72
ALEM08C04b,06/07/2013,182
ALEM08C04a,06/10/2013,112
ALEM08C03b,06/13/2013,184
ALEM08C03a,06/14/2013,111
ALEM08C02,06/24/2013,275
ALEM08C01,06/27/2013,960
ALEM08W07,07/08/2013,434
ALEM08W06,07/19/2013,373
ALEM08W05,07/29/2013,327
ALEM08W04,08/08/2013,247
ALEM08W03b,08/21/2013,262
ALEM08W03a,08/29/2013,0
ALEM08W02,09/02/2013,124
ALEM08W01,10/01/2014,72
ALEM09F02,05/09/2012,1017
ALEM09F01,05/17/2012,846
ALEM09C04a,06/11/2012,119
ALEM09C03a,06/15/2012,80
ALEM09C03c,06/16/2012,134
ALEM09C04c,06/21/2012,74
ALEM09C04b,07/27/2012,200
ALEM09C03b,08/01/2012,208
ALEM09C02,08/24/2012,311
ALEM09C01,09/04/2012,957
ALEM09W07,09/18/2012,416
ALEM09W06,09/27/2012,355
ALEM09W05,10/09/2012,312
ALEM09W04,11/06/2012,256
ALEM09W03b,11/16/2012,168
ALEM09W03a,12/04/2012,144
ALEM09W02,01/14/2013,120
ALEM09W01,10/08/2014,78
ALEM10F02,03/14/2012,1039
ALEM10F01,03/26/2012,847
ALEM10C04c,06/06/2012,88
ALEM10C03c,06/15/2012,88
ALEM10C04b,09/13/2012,184
ALEM10C03b,09/22/2012,207
ALEM10C04a,10/04/2012,136
ALEM10C03a,10/09/2012,104
ALEM10C02,10/17/2012,280
ALEM10C01,10/31/2012,1024
ALEM10W07,11/29/2012,384
ALEM10W06,12/17/2012,344
ALEM10W05,12/29/2012,312
ALEM10W04,01/17/2013,264
ALEM10W03b,01/25/2013,176
ALEM10W03a,02/04/2013,144
ALEM10W02,02/25/2013,128
ALEM10W01,10/15/2014,63
ALEM11F02,04/13/2012,442
ALEM11F01,04/25/2012,399
ALEM11C04a,05/25/2012,59
ALEM11C03a,06/05/2012,54
ALEM11C04c,06/20/2012,32
ALEM11C03c,06/21/2012,0
ALEM11C04b,07/07/2012,84
ALEM11C03b,07/11/2012,88
ALEM11C02,09/17/2012,124
ALEM11C01,11/08/2012,436
ALEM11W07,02/18/2013,180
ALEM11W06,02/25/2013,144
ALEM11W05,03/04/2013,144
ALEM11W04,03/11/2013,112
ALEM11W03b,03/20/2013,72
ALEM11W03a,03/27/2013,64
ALEM11W02,04/06/2013,56
ALEM11W01,10/18/2014,32
ALEM12F02,05/10/2012,1007
ALEM12F01,05/23/2012,1017
ALEM12C04a,08/06/2012,192
ALEM12C03a,08/09/2012,152
ALEM12C04c,02/13/2013,188
ALEM12C04b,02/16/2013,208
ALEM12C03c,02/19/2013,152
ALEM12C03b,02/22/2013,224
ALEM12C02,03/09/2013,344
ALEM12C01,03/13/2013,1072
ALEM12W07,04/17/2013,392
ALEM12W06,04/30/2013,320
ALEM12W05,05/13/2013,312
ALEM12W04,05/23/2013,264
ALEM12W03b,06/05/2013,175
ALEM12W03a,06/24/2013,139
ALEM12W02,07/02/2013,111
ALEM12W01,10/23/2014,80
ALEM13F03,03/30/2012,1006
ALEM13F02,04/18/2012,1035
ALEM13F01b,07/21/2012,358
ALEM13F01a,09/04/2012,140
ALEM13F01c,09/26/2012,96
ALEM13C04a,10/03/2012,224
ALEM13C03a,10/12/2012,328
ALEM13C04c,10/16/2012,160
ALEM13C03c,11/06/2012,136
ALEM13C04b,01/24/2013,288
ALEM13C03b,02/01/2013,328
ALEM13C02,02/23/2013,440
ALEM13C01,02/28/2013,1268
ALEM13W07,03/18/2013,472
ALEM13W06,04/02/2013,346
ALEM13W05,04/10/2013,316
ALEM13W04,04/17/2013,288
ALEM13W03b,04/24/2013,160
ALEM13W03a,05/06/2013,112
ALEM13W02,05/13/2013,136
ALEM13W01,06/12/2013,95
ALEM14F02,05/18/2012,1041
ALEM14F01,05/29/2012,1005
ALEM14C04c,07/14/2012,192
ALEM14C04a,07/17/2012,207
ALEM14C03c,07/19/2012,144
ALEM14C03a,07/27/2012,166
ALEM14C04b,11/08/2012,208
ALEM14C03b,11/15/2012,244
ALEM14C02,11/29/2012,304
ALEM14C01,12/10/2012,1008
ALEM14W07,01/21/2013,400
ALEM14W06,01/30/2013,368
ALEM14W05,02/08/2013,332
ALEM14W04,02/19/2013,256
