Activity ID,Structure,Main structure,Activity Name,Start,Finish,Budgeted Units,Remaining Units,WBS Path,WBS Name,Resource Type,Resource Name
TRF6-P3-04-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,30-Jan-13,31-Jan-13,4311,4311,2.13.3.1.2.2.3.3.6,TRF6-P3-04,Material,Rebar
TRF6-P3-03-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,4-Feb-13,5-Feb-13,4116,4116,2.13.3.1.2.2.3.3.7,TRF6-P3-03,Material,Rebar
TRF6-P3-02-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,13-Feb-13,14-Feb-13,7078,7078,2.13.3.1.2.2.3.3.8,TRF6-P3-02,Material,Rebar
TRF6-P3-01-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,18-Feb-13,18-Feb-13,1596,1596,2.13.3.1.2.2.3.3.9,TRF6-P3-01,Material,Rebar
TRF6-P4-03-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,13-Feb-13,13-Feb-13,2519,2519,2.13.3.1.2.2.3.4.2,TRF6-P4-03,Material,Rebar
TRF6-P4-02-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,16-Feb-13,18-Feb-13,6861,6861,2.13.3.1.2.2.3.4.3,TRF6-P4-02,Material,Rebar
TRF6-P4-01-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,21-Feb-13,21-Feb-13,1722,1722,2.13.3.1.2.2.3.4.4,TRF6-P4-01,Material,Rebar
TRF6-P5-02-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,13-Feb-13,16-Feb-13,19983,19983,2.13.3.1.2.2.3.5.3,TRF6-P5-02,Material,Rebar
TRF6-P5-01-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,20-Feb-13,20-Feb-13,3411,3411,2.13.3.1.2.2.3.5.4,TRF6-P5-01,Material,Rebar
TRF6-P5-04-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,30-Jan-13,31-Jan-13,6478,6478,2.13.3.1.2.2.3.5.1,TRF6-P5-04,Material,Rebar
TRF6-P5-03-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,4-Feb-13,5-Feb-13,4994,4994,2.13.3.1.2.2.3.5.2,TRF6-P5-03,Material,Rebar
TRF6-SW-02-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,6-Feb-13,7-Feb-13,8203,8203,2.13.3.1.2.2.1.10,TRF6-SW-02,Material,Rebar
TRF6-SW-11-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,3-Dec-12,3-Dec-12,7057,7057,2.13.3.1.2.2.1.1,TRF6-SW-11,Material,Rebar
TRF6-SW-10-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,7-Dec-12,10-Dec-12,8508,8508,2.13.3.1.2.2.1.2,TRF6-SW-10,Material,Rebar
TRF6-SW-09-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,13-Dec-12,14-Dec-12,5979,5979,2.13.3.1.2.2.1.3,TRF6-SW-09,Material,Rebar
TRF6-SW-08-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,17-Dec-12,18-Dec-12,5841,5841,2.13.3.1.2.2.1.4,TRF6-SW-08,Material,Rebar
TRF6-SW-07-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,21-Dec-12,21-Dec-12,6148,6148,2.13.3.1.2.2.1.5,TRF6-SW-07,Material,Rebar
TRF6-SW-06-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,29-Dec-12,29-Dec-12,6223,6223,2.13.3.1.2.2.1.6,TRF6-SW-06,Material,Rebar
TRF6-SW-04-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,28-Jan-13,29-Jan-13,6226,6226,2.13.3.1.2.2.1.8,TRF6-SW-04,Material,Rebar
TRF6-SW-03-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,1-Feb-13,2-Feb-13,5837,5837,2.13.3.1.2.2.1.9,TRF6-SW-03,Material,Rebar
TRF6-SW-01-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,15-Feb-13,15-Feb-13,1505,1505,2.13.3.1.2.2.1.11,TRF6-SW-01,Material,Rebar
