DESTINATION_CODE_LINE1,description_mix,QUANTITY
UE-M23-F01, SMC P56P ,148.0800028
UE-M23-F01,Grout,1
UE-M23-F02, IMC P14 P ,72.00000047683716
UE-M23-F02,Grout,0.75
UE-M23-F02,SMC P11,240.06000566482544
UE-M23-F02,SMC P11 P1,144.10000228881836
UE-M23-F04A,IMC P7,16
UE-M23-F04A,LC-P2 LEVELING,16
UE-M23-F04A,SMC-P3,176.00000143051147
UE-M23-F06,IMC-P7 mass concrete,256.0000047683716
UE-M23-F06,SMC P11,28.07000160217285
UE-M23-F06,SMC P12,85.04000329971313
UE-M23-F06,SMC-P11,332.0200090408325
UE-M23-F07,SMC-P11-P1,8
UE-M23-W05, IMC P18 ,128.04000544548035
UE-M23-W05, SMC P3 P ,8
UE-M23-W05, SMC P56 ,184.1400077342987
UE-M23-W06, IMC P18 ,112.00000190734863
UE-M23-W06, SMC P56 ,172.06000423431396
UE-M23-W07, IMC P18 ,224.06000185012817
UE-M23-W07, SMC P50 P ,8
UE-M23-W07, SMC P56 ,192.02000093460083
