DESTINATION_CODE_LINE1,description_mix,QUANTITY
UE-M10-W04,IMC P7,40.00000047683716
UE-M10-W04,SMC-P12,176.180007
UE-M10-W05,IMC P7,72.16000366210938
UE-M10-W05,SMC-P12,198.1800093650818
UE-M10-W06,Grout,1
UE-M10-W06,IMC P7,43.98000097
UE-M10-W06,SMC-P11-P1,80.00000095367432
UE-M10-W06,SMC-P12,72.00000286102295
UE-M10-W07,IMC P7,88.02000237
UE-M10-W07,SMC-P12,258.0400071144104
UE-M10-W08,IMC P7,128.00000047683716
UE-M10-W08,SMC-P12,272.0400047302246
UE-M10-W09,IMC P7,96.00000286102295
UE-M10-W09,SMC-P12,448.06001472473145
UE-M11-C01A,IMC-P7 mass concrete,32
UE-M11-C01A,SMC-P12,232.0400037765503
UE-M11-C01B,SMC-P12,164.05000734329224
UE-M11-C02,SMC-P12,192.08000469207764
UE-M11-C03A,SMC-P12,80.08000326156616
UE-M11-C03b,SMC-P12,40
UE-M11-C03C,SMC-P11,36
UE-M11-C04A,SMC-P12,74.04000091552734
UE-M11-C04B,SMC-P12,98.00000047683716
UE-M11-C04c,SMC-P11,40
UE-M11-C04c,SMC-P12,8
UE-M11-CO3B,SMC-P12,56.06000232696533
UE-M11-F01,IMC-P7 mass concrete,124.00000047683716
UE-M11-F01,SMC-P11,272.02000427246094
UE-M11-F02,IMC-P7 mass concrete,96.00000143051147
UE-M11-F02,SMC-P11,235.00000190734863
UE-M11-W01,SMC-P12,39.00000047683716
UE-M11-W02,IMC P7,8
UE-M11-W02,SMC-P11,56.000001430511475
UE-M11-W03,IMC P7,40
UE-M11-W03,SMC-P12,52.00000047683716
UE-M11-W04,IMC P7,40.060001850128174
UE-M11-W04,SMC-P12,83.12000370025635
UE-M11-W05,IMC P7,32.02000093460083
UE-M11-W05,SMC-P12,75.00000238418579
UE-M11-W06,IMC-P7 mass concrete,32
UE-M11-W06,SMC-P12,88.04000186920166
UE-M11-W07,IMC-P7 mass concrete,56.000001430511475
UE-M11-W07,SMC-P12,92.00000095367432
UE-M11-W08,IMC-P7 mass concrete,40
UE-M11-W08,SMC-P12,131.97000122070312
UE-M11-W09,IMC-P7 mass concrete,88.00000095367432
UE-M11-W09,SMC-P12,144.00000190734863
UE-M11-W18,SMC-P12,12.030000686645508
UE-M12-C01A, IMC P14 P ,288.10001134872437
UE-M12-C01A, SMC P56P ,408.00001096725464
UE-M12-C01A,Grout,2
UE-M12-C01B, IMC P14 P ,272.22001123428345
UE-M12-C01B, SMC P56P ,128.02000284194946
UE-M12-C01B,Grout,1
UE-M12-C02,Grout,1
UE-M12-C02,IMC P9 P1,8
UE-M12-C02,SMC P11 P1,328.00000619888306
UE-M12-W01, SMC P3 P ,72.00000143051147
UE-M12-W02, IMC P18 ,16.000000476837158
UE-M12-W02, SMC P56P ,187.1000042
UE-M12-W02,Grout,0.75
UE-M12-W03, IMC P14 P ,8
UE-M12-W03, SMC P56P ,200.10000467300415
UE-M12-W03,Grout,0.5
UE-M12-W04, SMC P56P ,224.04000091552734
UE-M12-W05, IMC P14 P ,72
UE-M12-W05, SMC P56P ,187.00000095367432
UE-M12-W05,Grout,0.75
UE-M12-W06, IMC P14 P ,72
UE-M12-W06, SMC P3 P ,8
UE-M12-W06, SMC P56 ,16
UE-M12-W06, SMC P56P ,300.06000661849976
UE-M12-W06,Grout,2.5
UE-M12-W07, IMC P14 P ,184.00000047683716
UE-M12-W07, SMC P56P ,224.1200032234192
UE-M12-W07,Grout,1
UE-M12-W08, IMC P14 P ,200.10000228881836
UE-M12-W08, SMC P50 P ,280.1400055885315
UE-M12-W08,Grout,1
UE-M12-W09, IMC P14 P ,248.06000185012817
UE-M12-W09, SMC P50 P ,8
UE-M12-W09, SMC P56P ,288.0800075531006
UE-M12-W09,Grout,2.5
UE-M12 F01 ,IMC-P7 mass concrete,112.00000143051147
UE-M12 F01 ,SMC-P12,579.0000114440918
UE-M12-C01C,Grout,1
UE-M12-C01C,SMC-P11-P1,23
UE-M12-C03A,SMC-P12,184.00000381469727
UE-M12-C03B,IMC-P7 mass concrete,48
UE-M12-C03B,SMC-P12,170.00000381469727
UE-M12-C03C,SMC-P12,160.00000143051147
UE-M12-C04A,SMC-P12,180.12000370025635
UE-M12-C04B,IMC-P7 mass concrete,40
UE-M12-C04B,SMC-P12,141.00000381469727
